year,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2000,2222.27916,10280.32337,275.2796288,4706.515502,46627.81021,768.5443874,1383.187665,0.385354369,3556.06455,24545.91708,11810.83174,35402.02324,6268.447625,13275.11003,12585.46738,1348.845972,1122,2521.2
2001,7466.504252,17690.24295,736.3422496,4034.221654,72848.37855,19.80566922,1742.817561,NA,2018.91287,18317.06603,12762.38381,27652.21923,12652.22865,6940.643948,26200.07596,4154.194086,985.4,6381.54
2002,7007.632674,22597.80851,2245.406316,36984.1192,218173.6425,2451.195968,2239.441424,NA,6793.011047,33097.98244,13493.72838,30367.56066,6569.77258,10393.38824,24804.90531,1620.383393,674.6,837
2003,6984.060214,20917.60071,3539.36481,1202.985069,121845.7352,804.966921,4155.989784,3959.226773,1813.303261,12948.3609,13682.7128,59595.11207,8332.195727,3345.876491,20014.43544,1193.540758,1932.6,2882.25
2004,5795.491312,17671.4254,1443.728096,9266.665337,123752.9221,72.12335709,1830.595133,36.499913,1994.91951,11914.05685,13438.14574,34930.61905,7015.463776,8982.039517,13708.10387,2695.00411,1189.8,8990.1
2005,6405.773023,9285.83249,1685.921409,1242.650487,41010.03435,231.6294638,1690.19647,10749.21472,2245.791147,16101.22176,10655.0977,27925.61348,6306.74283,15408.6662,9102.947792,1987.554399,1822.4,7187.85
2006,15113.25181,33917.25285,458.4930856,8159.056343,345621.0882,350.0412676,1974.995837,5.209789716,1703.024705,39704.55414,12223.16358,28566.21027,7285.677194,14410.16348,15581.26796,2083.630246,1444.8,897.75
2007,4531.531612,7116.064388,559.149378,1957.09599,108576.2561,210.7273036,1895.324547,NA,1068.797321,18635.13244,10161.38627,19754.17942,4895.117957,6266.338809,3575.076322,2214.266413,1011.8,617.4
2008,9604.898794,45491.06245,377.3412538,4583.572183,242016.1813,274.2023315,1836.624172,14.25808062,1513.998715,14903.47127,12077.69674,37576.19311,8872.105227,25149.86099,7997.680423,2553.622642,1329.8,2835.9
2009,9061.456021,47177.93151,889.9943139,4589.311838,332081.6268,NA,1063.723724,4.499477497,1344.765183,22456.95385,11914.90257,39518.73717,9590.724051,17895.87725,13467.14956,3591.882308,1747.4,2029.65
2010,4070.677254,3356.554347,851.256984,17671.56545,191600.086,4003.963564,1295.532088,678.2191221,1430.323379,16324.3495,15924.02779,74736.58346,14453.50738,22945.62229,5672.401379,1742.967479,2462.2,5726.25
2011,6470.308866,16208.87427,452.7554809,2841.405327,214563.2524,23.45514571,1309.784824,288.5584735,1079.70046,9710.705004,13496.74335,39595.40617,11148.13119,18323.616,3380.515252,2927.323392,1514,1476.9
2012,2246.197144,5358.675617,964.744422,10200.50667,463557.1366,1822.146609,1587.314136,13.13155143,3957.413648,32890.00646,19337.90674,43287.84186,17028.03923,9572.536565,8547.998489,1103.671568,1273.8,422.1
2013,4687.270671,2802.84543,2063.074107,3907.769529,216929.0394,458.3965553,1012.369853,25355.4442,487.4003648,31583.26938,10156.12473,30719.77065,5348.377478,10745.01065,4351.558158,1258.322375,916.8,759.15
2014,5907.393044,1971.14431,2542.055633,41279.58661,195792.5858,76.37440793,988.9298453,7380.804534,811.5007632,30794.47618,11076.97741,45007.27495,9905.927471,14660.32165,18171.83588,3454.942569,806.6,2277.45
2015,1057.156057,490.6093563,1571.392407,9227.211317,309416.8579,12.17557642,1277.492054,5.083372288,595.1461855,18138.55902,9060.881962,32508.01062,4916.029669,16929.74986,7763.356054,1545.202954,631.6,4801.95
2016,4605.671558,7337.090881,2789.834237,51998.88964,204741.0762,622.8667926,1175.961767,3107.879873,1242.552953,25425.22021,7271.295798,22469.09742,7133.257051,20012.02093,5770.653758,3467.449125,496,1204.65
2017,1660.409844,6462.812859,1682.024217,7924.399015,145299.9603,643.5418083,401.5414888,7.279692215,176.7267696,2060.414554,2702.684422,22678.52336,1437.458268,2106.400873,8923.594629,1305.607165,831.6,238.95
2018,1486.455427,10503.26276,1683.033376,12414.15591,242876.0286,1298.497752,1069.099418,366.8056636,1200.604798,13924.73358,6453.341068,35003.62966,10893.64722,15299.74534,10877.48797,1790.983948,808.6,30.6
2019,204.1141787,12285.31231,2179.643039,9474.462569,287257.8984,32.23489297,1543.403014,245.9477942,303.8155386,18676.67021,7192.66566,48297.62898,16691.29639,4968.929009,27473.68207,5860.030604,NA,NA
2020,14.88377054,631.9580834,1364.169238,5499.878098,144049.7071,96.64602872,154.3283345,NA,105.759796,1558.545372,1549.740163,11395.71324,1517.346213,86.21071604,6095.523357,300.5573587,NA,NA
2021,74.99991133,37163.65577,2898.710122,12007.32008,428629.6276,132.3522819,563.5624327,NA,324.1379854,44783.87563,5843.973968,26532.20233,6914.595669,10489.38351,17246.52784,459.834453,NA,NA
