Year,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2000,18561,5373,1830,3515,3606,8838,5032,53,3782,19450,12155,7,8467,0,7206,393,93,0
2001,16887,12156,2983,2776,421,9153,5985,59,2624,13624,8009,4,9355,0,5002,360,42,0
2002,6402,19218,2140,1365,421,8597,5510,242,1637,14902,8223,0,5113,0,6322,485,133,0
2003,7009,20024,2319,5045,300,12646,7162,252,1699,10286,10748,0,5193,0,3523,412,428,0
2004,6154,21888,1724,6141,270,10514,4422,278,1140,27898,10496,954,4999,0,4023,241,93,13
2005,6343,18496,1605,4542,204,13611,4517,143,666,22635,9495,3529,3698,0,4074,72,51,0
2006,22233,15991,1412,5254,390,11358,4026,95,1366,22371,9014,2946,3080,0,3882,505,271,0
2007,6286,4429,1611,5373,430,9762,4219,156,1119,14641,6650,3809,4445,596,3928,366,209,0
2008,5315,5415,1643,3593,447,14640,4020,146,603,15709,6017,4394,4204,400,3623,597,1122,0
2009,10703,8850,2073,4903,1458,12790,3119,55,337,15423,6207,3911,5004,331,3531,15797,94,0
2010,5825,4155,2513,7011,1387,17574,2661,179,158,20688,6362,5645,4474,458,2911,23181,49,0
2011,5364,182,999,7296,2163,14975,3149,176,169,26202,7962,5503,3406,543,1643,34167,273,0
2012,8036,3437,1827,6904,1912,12549,3147,18,113,16805,8650,6587,3371,491,2157,39481,112,0
2013,14105,353,2122,9256,1822,18940,2942,0,265,12164,9899,5669,2669,960,4596,18325,55,0
2014,9592,279,2160,8283,1887,12263,2814,1,329,14911,8699,7462,2933,2972,3944,613,173,0
2015,8010,1910,3168,10383,1667,9424,2551,7,262,12430,6411,7251,1882,1725,2765,391,372,0
2016,6044,677,4251,8589,2706,12408,2571,1,229,21654,6593,6506,3013,950,3379,1182,151,0
2017,3825,1719,4540,9401,1977,10111,2100,0,170,28960,5287,6051,2664,3493,2197,1157,111,0
2018,2550,5108,2788,8128,1391,5444,2937,62,104,31991,3956,6398,3021,1457,1718,993,131,0
2019,1223,3138,3123,9269,1485,7414,2987,1,57,28351,4830,6251,3913,3233,2707,272,41,0
2020,360,3610,3394,9142,1496,4344,1939,1,57,27386,5831,6007,3476,2276,2202,811,178,0
2021,318,673,3580,9382,1410,4870,1456,0,40,20331,4518,4755,1914,1418,4286,816,61,0
2022,119,257,3629,10658,1098,11544,1314,0,15,21068,5708,4184,1479,572,3113,1466,42,0
2023,936,1071,2921,8843,1111,7635,1050,0,12,21478,5591,4848,2188,1720,4530,318,128,0
