"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,2.1144798,1.378272E-4,1.3762847,2.8460128E-5,0.0,0.0,2.8747604E-7,0.0
1.0,2.0,0.2346231,2.468692E-4,9.923296E-4,8.68958E-4,0.0,0.0,8.777354E-6,0.0
1.0,4.0,0.09150601,6.471001E-5,0.0010045106,9.3922275E-4,0.0,0.0,9.487098E-6,0.0
1.0,6.0,0.05515657,1.5844703E-4,0.0010032923,9.5708895E-4,0.0,0.0,9.667565E-6,0.0
1.0,8.0,0.045328803,6.6718116E-5,0.0010031826,9.452656E-4,0.0,0.0,9.548137E-6,0.0
1.0,10.0,0.038190853,6.0613504E-5,0.0010016419,9.540209E-4,0.0,0.0,9.636575E-6,0.0
1.0,12.0,0.030428959,0.0,0.0010014928,9.755359E-4,0.0,0.0,9.853898E-6,0.0
1.0,14.0,0.02611811,3.1367217E-5,0.0010015975,9.647515E-4,0.0,0.0,9.744965E-6,0.0
1.0,16.0,0.020537592,0.0,0.0010015434,9.493971E-4,0.0,0.0,9.5898695E-6,0.0
1.0,18.0,0.015286645,8.326261E-7,0.0010014928,9.574852E-4,0.0,0.0,9.671568E-6,0.0
1.0,20.0,0.011415792,1.3493598E-5,0.0010007533,9.6711505E-4,0.0,0.0,9.768839E-6,0.0
1.0,22.0,0.00870078,4.1516236E-7,0.0010007278,9.5894E-4,0.0,0.0,9.686263E-6,0.0
1.0,24.0,0.005656093,1.060459E-6,0.0010007373,9.642704E-4,0.0,0.0,9.740104E-6,0.0
1.0,26.0,0.0033321655,7.173463E-6,0.0010007595,9.506831E-4,0.0,0.0,9.602859E-6,0.0
