"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6514048E7,0.0,0.0,0.0,0.0
1.0,10.0,169952.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935394.0,0.0,0.0,0.0,5640047.5,72688.66,0.0,0.0,0.0
1.0,20.0,226142.3,315931.2,0.0,1348.0178,0.0,0.0,0.0,0.0,0.0,1212013.4,0.0,0.0,2851398.0,0.0,1266700.1,196588.4,0.0,0.0
1.0,30.0,29330.51,3651719.5,0.0,4072.8245,0.0,0.0,0.0,0.0,84542.94,6792.896,0.0,68878.516,1884158.9,0.0,941836.25,5841.8853,0.0,0.0
1.0,40.0,0.0,1464219.5,421.2507,0.0,0.0,0.0,14.260315,1.3054427E-4,63599.84,0.0,43690.78,493436.2,1322317.9,0.0,620859.25,0.0,0.0,0.0
1.0,50.0,0.0,1.9391096,870.39026,0.0,340.60715,0.0,41.939163,7.587157E-5,0.0,0.0,93552.46,712469.8,0.0,0.0,155086.11,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,360.2981,0.0,48.672634,4.304212E-8,0.0,0.0,48677.297,0.0,0.0,0.0,4608.263,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,371.48376,474.8013,46.858383,0.0,0.0,0.0,21404.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,387.5454,397.1537,36.11018,0.0,0.0,0.0,22382.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,473.9706,428.6247,29.480776,0.0,0.0,0.0,41350.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,657.191,184.80968,25.346758,0.0,0.0,0.0,7037.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,1349.8857,0.0,21.942528,0.0,0.0,0.0,14241.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,56.642418,0.0,0.0,0.0,5502.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38667136E8,0.0,0.0,0.0,0.0
2.0,10.0,1583224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6642237.5,0.0,0.0,0.0,8905987.0,2570.1265,0.0,0.0,0.0
2.0,20.0,221054.14,1977794.9,0.0,1.1934335,0.0,0.0,0.0,0.0,0.0,1947479.6,0.0,0.0,1.1508213E7,0.0,832984.1,319847.78,0.0,0.0
2.0,30.0,30955.092,5049248.5,0.0,24.004442,0.0,0.0,0.0,0.0,35919.457,30435.87,0.0,3124.6204,36848.688,0.0,1052740.8,61172.684,0.0,0.0
2.0,40.0,0.0,4587121.0,0.07196439,0.0,0.0,0.0,0.1176563,0.0,49684.99,0.0,0.0,36102.48,0.0,0.0,925189.2,1009.23615,0.0,0.0
2.0,50.0,0.0,747009.1,46.05355,0.0,361.37167,0.0,1.3603395,0.0,80395.64,0.0,171310.83,497031.72,0.0,0.0,674232.3,0.0,0.0,0.0
2.0,60.0,0.0,0.64589995,0.0,0.0,433.46628,0.0,8.593346,0.0,29844.924,0.0,85213.875,0.0,0.0,0.0,79815.96,0.0,0.0,0.0
