"Mean abundance (number of fish), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,6.5708208E7,9.5968737E9,2.7723226E7,2.76229856E8,6845572.5,457.18356,1.36231648E8,135760.5,2.2937956E7,7.5619557E10,4344334.5,2.303826E7,7.2260408E7,1.02521813E13,2.26681344E8,2.88923418E9,1.1094841E7,1.2627845E7
2.0,5.9201747E8,1.70862356E10,2.1837118E7,3.28824544E8,1.0012653E7,4085.2656,1.1332108E8,11158.585,1.08129176E8,1.1988311E10,2410455.8,7875317.0,5.9774266E8,1.06003956E13,1.2958647E9,1.92832082E10,1.9096236E7,1.12284365E9
3.0,7.2879885E8,3.0807298E10,2.388849E7,3.21561792E8,1.0963974E7,7924.841,8.4190696E7,0.20425592,1.9408696E8,4.6016481E9,1386091.4,2520376.0,8.9972026E8,1.76977412E12,2.81646899E9,2.02660618E10,1.12329392E8,5.8439245E9
4.0,4.24579814E9,2.41678418E10,1.5374645E7,1.47917632E8,1.0412141E7,9250.033,3.04607936E8,0.0,2.53137248E8,1.8752215E9,772306.94,628396.2,8.1106387E8,7.300485E11,2.80234445E9,9.3488579E9,1.1143996E7,4.6237102E9
5.0,4.6331561E9,1.86319872E10,1.2650947E7,1.40260944E8,1.0873397E7,13318.849,6.2699514E8,0.0,2.98730752E8,2.36151808E9,430579.47,133892.23,1.55957043E9,1.00815838E12,2.40005811E9,4.27804826E9,5688657.0,2.28899226E9
6.0,1.83955802E9,1.3720747E10,8474565.0,9.1016808E7,1.2830505E7,19572.463,8.8595757E8,0.0,3.13053888E8,2.01497434E9,244411.98,23589.98,1.04459424E9,2.11820557E12,2.19492454E9,2.43575194E9,798363.8,1.22598413E9
7.0,1.2207448E8,2.2532862E10,6143553.0,5.500348E7,1.499528E7,31885.307,9.6907482E8,0.0,3.39205248E8,2.61136128E9,141286.05,9956.099,1.81315699E9,2.22579681E12,2.01117645E9,2.70962176E9,73656.2,5.26150112E8
8.0,9.1703642E8,2.14032486E10,3250307.2,4.6803188E7,1.7700786E7,53397.12,1.25594419E9,0.0,3.26359168E8,2.88119603E9,82530.14,6835.0034,1.22941171E9,1.80067736E12,1.98432614E9,1.97821926E9,260.41632,4.84345888E8
9.0,1.94627648E8,1.54505779E10,1824993.2,1.241978E7,1.989337E7,86344.68,1.32617971E9,0.0,3.73421696E8,2.29241933E9,47622.57,5192.7803,1.5639977E9,2.1589012E12,2.06893274E9,1.87257434E9,0.0,7.5916358E8
10.0,3.0583004E7,1.22902508E10,1008207.6,4003741.2,2.3542916E7,154852.53,1.37376806E9,0.0,3.473088E8,1.73606042E9,27845.65,3845.598,1.56163597E9,1.53384124E12,2.10766822E9,2.24064358E9,0.0,1.65112653E9
