"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,84.3422,404987.34,955.60864,458.16275,14974.678,21.790894,9426.438,0.013101544,194412.56,189965.97,2.77727936E8,6372.705,666.36304,9.7703837E13,2.47181888E8,154079.0,0.679281,0.1055235
2.0,1.6164823,1365875.0,13160.415,186.84966,14334.897,18150.354,33365.957,5.970156E-4,1488969.2,157544.61,3.99616481E15,2135.2808,1332.157,1.75259865E14,8.7493094E14,356446.12,0.5096448,3.2541347
3.0,0.0027774496,1.80941824E8,19291.494,339.05716,13980.966,169837.83,38870.004,0.0,3133928.5,128241.87,7.9708931E18,782.4267,692.3865,2.4846048E20,1.02676574E18,120810.836,0.003108397,53.09975
4.0,0.0,5.4985018E8,9771.449,429.29086,13932.088,1080620.0,44611.523,0.0,2334658.8,5986.7646,1.03984585E24,253.49033,150.42929,4.6620427E26,1.2345881E24,8056.1973,0.0,110.35245
5.0,0.0,2.54636667E10,5172.1797,270.80972,14293.641,1.1178525E7,53602.195,0.0,1322641.2,3751.0645,2.068682E29,56.88548,144.20613,6.3558574E26,1.423863E28,7866.958,0.0,39.09877
6.0,0.0,4.8614615E12,2483.9438,0.0,14867.488,8.401308E7,53682.9,0.0,511703.5,1313.1464,2.614508E30,8.2517185,27.238554,2.312819E25,8.248003E28,2212.1943,0.0,12.1513405
7.0,0.0,1.0310716E13,1255.3221,0.0,15596.885,3.42376384E8,49172.863,0.0,159694.03,2127.402,1.7270703E31,1.5748636,0.011538531,2.04834128E8,2.6983115E30,273.69427,0.0,21.394558
8.0,0.0,9.1130713E12,659.5093,0.0,16177.718,7.9748621E8,47564.785,0.0,58588.547,2017.7755,6.8589126E33,0.5984297,0.0,1.33031347E9,4.2295387E31,1.8719397,0.0,0.0
9.0,0.0,4.12761326E12,243.20918,0.0,16486.555,1.51441498E9,42898.89,0.0,14336.089,2199.5686,7.5552005E34,0.26455548,0.0,1.66818896E8,2.364651E33,0.0,0.0,0.0
10.0,0.0,1.73114917E12,160.89761,0.0,16768.65,2.26972109E9,36374.29,0.0,4399.131,1649.739,1.2385909E37,0.14725834,0.0,2.17103437E9,3.3314034E34,0.0,0.0,0.0
11.0,0.0,4.96760422E11,23.693586,0.0,16975.324,3.48206797E9,29775.766,0.0,3014.266,1719.2471,8.554285E37,0.085004464,0.0,1.16902922E10,4.2327365E35,0.0,0.0,0.0
12.0,0.0,1.42718452E11,2.8706317,0.0,17229.877,4.3022095E9,25591.852,0.0,1958.435,1696.5167,1.893429E38,0.049039755,0.0,2.5880616E8,5.61079E36,0.0,0.0,0.0
13.0,0.0,5.6328331E10,0.0,0.0,17631.768,4.6205394E9,20748.562,0.0,3072.161,2830.0337,Inf,0.0112408735,0.0,3.9804928E8,8.109117E37,0.0,0.0,0.0
14.0,0.0,1.9060437E10,0.0,0.0,18180.467,8.6437816E9,19634.791,0.0,2410.812,1860.391,Inf,0.0,0.0,7.2376589E8,Inf,0.0,0.0,0.0
15.0,0.0,3.52728908E11,0.0,0.0,18995.186,3.06777743E10,11015.764,0.0,2397.3672,3574.634,Inf,0.0,0.0,2.32884403E9,Inf,0.0,0.0,0.0
16.0,0.0,1.2286106E12,0.0,0.0,20025.406,5.8399633E10,8974.072,0.0,1809.4926,2280.7976,Inf,0.0,0.0,6.635012E7,Inf,0.0,0.0,0.0
17.0,0.0,5.13047069E11,0.0,0.0,21347.225,8.0096764E10,7474.611,0.0,1046.1973,2123.185,Inf,0.0,0.0,2.7105664E8,Inf,0.0,0.0,0.0
18.0,0.0,2.13339872E8,0.0,0.0,22743.203,7.3265291E10,5521.7573,0.0,2145.5288,4332.8076,Inf,0.0,0.0,3.4185751E9,Inf,0.0,0.0,0.0
19.0,0.0,5.9274776E7,0.0,0.0,24131.254,6.4373772E10,4322.16,0.0,3289.9824,2234.7146,Inf,0.0,0.0,2.25129421E9,Inf,0.0,0.0,0.0
20.0,0.0,1.7965752E7,0.0,0.0,25587.715,7.1313433E10,2927.408,0.0,3684.7212,2082.2551,Inf,0.0,0.0,2.89033664E8,Inf,0.0,0.0,0.0
21.0,0.0,5.0933208E7,0.0,0.0,27054.592,9.3374235E10,2364.9897,0.0,4376.0854,1887.2366,Inf,0.0,0.0,7.3287533E8,Inf,0.0,0.0,0.0
22.0,0.0,3.13383776E8,0.0,0.0,28484.922,1.16645315E11,1962.1151,0.0,3418.5374,2209.2864,Inf,0.0,0.0,3.38935757E9,Inf,0.0,0.0,0.0
23.0,0.0,1.28736832E8,0.0,0.0,29965.014,5.2314325E11,1522.4055,0.0,2459.4016,3425.0747,Inf,0.0,0.0,1.41068032E9,Inf,0.0,0.0,0.0
24.0,0.0,4.77417408E8,0.0,0.0,31443.305,1.4020435E12,1200.9376,0.0,2298.5505,1253.425,Inf,0.0,0.0,8.353921E9,Inf,0.0,0.0,0.0
25.0,0.0,3.1650624E9,0.0,0.0,33394.477,2.29654685E12,1221.2806,0.0,2727.7693,3744.6748,Inf,0.0,0.0,1.06503956E10,Inf,0.0,0.0,0.0
26.0,0.0,1.13335173E10,0.0,0.0,35622.4,4.7660684E12,2923.9353,0.0,3772.1567,4634.5757,Inf,0.0,0.0,2.52561357E9,Inf,0.0,0.0,0.0
27.0,0.0,1.22922304E9,0.0,0.0,38194.1,8.0124125E12,5082.8755,0.0,4437.7075,3861.202,Inf,0.0,0.0,1.84904786E10,Inf,0.0,0.0,0.0
28.0,0.0,6.0272826E8,0.0,0.0,41278.04,1.1095379E13,8607.675,0.0,8539.875,3989.9795,Inf,0.0,0.0,3.16836736E9,Inf,0.0,0.0,0.0
29.0,0.0,2.16042992E8,0.0,0.0,44710.45,1.43567534E13,20659.996,0.0,15717.677,3870.7234,Inf,0.0,0.0,5.5880736E8,Inf,0.0,0.0,0.0
30.0,0.0,3.17435392E8,0.0,0.0,48614.34,1.54516702E13,14941.821,0.0,7939.281,2492.292,Inf,0.0,0.0,9.8300966E8,Inf,0.0,0.0,0.0
31.0,0.0,4.327466E7,0.0,0.0,53079.703,1.59097763E13,15134.37,0.0,6495.179,2761.366,Inf,0.0,0.0,3.37672131E10,Inf,0.0,0.0,0.0
32.0,0.0,5512032.5,0.0,0.0,57843.906,4.5059173E13,15463.667,0.0,4551.656,1931.3799,Inf,0.0,0.0,4.3234528E8,Inf,0.0,0.0,0.0
33.0,0.0,6.5431482E8,0.0,0.0,63241.56,1.16922725E14,15950.98,0.0,3677.1682,2199.6892,Inf,0.0,0.0,3.871944E8,Inf,0.0,0.0,0.0
34.0,0.0,2.93888998E9,0.0,0.0,68022.44,1.91065596E14,15918.642,0.0,3147.9106,1638.5465,Inf,0.0,0.0,2807901.2,Inf,0.0,0.0,0.0
35.0,0.0,2.47127294E11,0.0,0.0,72136.414,2.14584233E14,15313.771,0.0,1646.9728,1683.2158,Inf,0.0,0.0,4.4706652E9,Inf,0.0,0.0,0.0
36.0,0.0,1.65445304E12,0.0,0.0,75244.78,1.85945257E14,15265.664,0.0,1213.6248,729.5926,Inf,0.0,0.0,2.7717086E7,Inf,0.0,0.0,0.0
37.0,0.0,3.12641257E11,0.0,0.0,77952.42,1.32640351E14,14268.249,0.0,1423.3877,921.5708,Inf,0.0,0.0,2.71650611E9,Inf,0.0,0.0,0.0
