"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,53.851604,424217.28,9.023459,43.88918,468.19672,0.0,40.01553,0.0,348.7888,36905.496,3911.6892,2322.854,4478.1895,1.04401186E13,1.86584736E8,24122.477,0.009729113,0.001472156
2.0,1.2070917,1309124.0,56.725533,0.5076672,448.78677,0.5716698,31.009691,0.0,13611.407,32393.48,1.26864067E10,766.63873,9422.665,1.77575842E13,3.18944674E14,56884.51,0.0058150063,0.041688498
3.0,0.002432692,1.96647072E8,1156.5027,0.8994899,437.9522,31.984867,34.647324,0.0,93276.27,25802.639,6.7174255E14,280.1024,4625.868,2.5470255E19,5.0205656E17,23419.201,3.3012293E-5,0.66078687
4.0,0.0,4.99553664E8,1392.0319,8.02144,436.63492,2208.7761,122.84956,0.0,114541.93,1351.523,6.5352437E18,90.54395,1015.1176,4.9935585E25,1.16303284E24,2216.314,0.0,1.380372
5.0,0.0,2.72258048E10,825.76843,26.283047,448.24594,66900.14,1655.4443,0.0,67284.766,869.4694,1.2389952E26,20.233501,1024.9508,6.432536E25,4.8281118E27,2634.2898,0.0,0.57608646
6.0,0.0,5.1421674E12,456.27234,0.0,466.1812,369389.94,4008.1553,0.0,33263.49,301.6317,2.4357671E26,2.934986,174.252,2.426101E24,2.6014445E28,722.8623,0.0,0.14734381
7.0,0.0,9.1688073E12,183.81934,0.0,489.1925,2398860.2,4376.098,0.0,14964.221,489.8579,1.2231405E27,0.5580618,0.07448036,2.6091126E7,9.405547E29,83.3119,0.0,0.3071085
8.0,0.0,9.6519219E12,75.76269,0.0,506.67905,3.3608276E7,4293.448,0.0,4628.878,467.86697,3.9104066E30,0.21188837,0.0,2.01977248E8,1.453418E31,0.55706424,0.0,0.0
9.0,0.0,4.4606596E12,28.183056,0.0,516.45056,5.5546012E7,3901.6255,0.0,846.2099,503.04486,9.6887347E30,0.09392506,0.0,3.2607608E7,8.5925906E32,0.0,0.0,0.0
10.0,0.0,1.79171256E12,10.476026,0.0,525.3963,2.39784352E8,3278.4038,0.0,279.40533,390.31653,3.4043024E34,0.052135,0.0,2.30476112E8,1.1111958E34,0.0,0.0,0.0
11.0,0.0,5.38850296E11,1.111272,0.0,531.7602,2.66127456E8,2689.357,0.0,183.56578,393.4704,2.4449207E34,0.030101886,0.0,1.56094643E9,1.4768242E35,0.0,0.0,0.0
12.0,0.0,1.55544027E11,0.0,0.0,539.9613,6.8902227E8,2288.9104,0.0,137.54408,382.09457,1.256279E34,0.017364947,0.0,3.5589676E7,2.0073322E36,0.0,0.0,0.0
13.0,0.0,6.2045196E10,0.0,0.0,552.53973,1.06229792E9,1797.3104,0.0,182.13797,634.56104,3.9150344E34,0.003984471,0.0,5.9765652E7,2.819128E37,0.0,0.0,0.0
14.0,0.0,2.08641024E10,0.0,0.0,570.04016,8.6530451E8,1321.7355,0.0,148.8975,409.8317,2.1163534E35,0.0,0.0,1.24911336E8,Inf,0.0,0.0,0.0
15.0,0.0,3.62853827E11,0.0,0.0,595.86584,7.5070771E8,984.50354,0.0,159.84901,780.3147,1.513584E36,0.0,0.0,4.07212128E8,Inf,0.0,0.0,0.0
16.0,0.0,1.38604288E12,0.0,0.0,628.6283,7.9684649E9,717.3438,0.0,143.04619,508.82425,Inf,0.0,0.0,1.1538587E7,Inf,0.0,0.0,0.0
17.0,0.0,6.1040289E11,0.0,0.0,670.26416,1.71334625E10,537.1775,0.0,80.282166,470.49203,Inf,0.0,0.0,4.118294E7,Inf,0.0,0.0,0.0
18.0,0.0,3.81787392E8,0.0,0.0,714.225,1.7352276E10,389.51016,0.0,85.15194,944.4665,Inf,0.0,0.0,4.35723712E8,Inf,0.0,0.0,0.0
19.0,0.0,6.6423288E7,0.0,0.0,757.8472,1.20638648E10,272.8227,0.0,167.43219,504.48926,Inf,0.0,0.0,4.64522368E8,Inf,0.0,0.0,0.0
20.0,0.0,1.980027E7,0.0,0.0,803.64844,8.2285942E9,191.6847,0.0,161.1704,469.16534,Inf,0.0,0.0,8.2595632E7,Inf,0.0,0.0,0.0
21.0,0.0,5.6265944E7,0.0,0.0,849.6514,1.26205716E10,131.76997,0.0,131.25955,420.6591,Inf,0.0,0.0,1.27806248E8,Inf,0.0,0.0,0.0
22.0,0.0,3.65287584E8,0.0,0.0,894.069,2.3090688E10,88.48578,0.0,148.67699,495.83087,Inf,0.0,0.0,4.46696736E8,Inf,0.0,0.0,0.0
23.0,0.0,1.46226656E8,0.0,0.0,940.5442,2.16094003E10,60.10694,0.0,105.94344,744.092,Inf,0.0,0.0,1.90905136E8,Inf,0.0,0.0,0.0
24.0,0.0,5.8294266E8,0.0,0.0,986.8028,1.08285256E11,42.35191,0.0,156.84575,283.3241,Inf,0.0,0.0,1.42411584E9,Inf,0.0,0.0,0.0
25.0,0.0,2.87902464E9,0.0,0.0,1048.2056,2.95948616E11,28.985231,0.0,211.34247,828.98566,Inf,0.0,0.0,2.3725801E9,Inf,0.0,0.0,0.0
26.0,0.0,1.31095941E10,0.0,0.0,1118.3259,4.92277826E11,32.789776,0.0,285.48434,978.4614,Inf,0.0,0.0,3.94285728E8,Inf,0.0,0.0,0.0
27.0,0.0,1.41028608E9,0.0,0.0,1199.5513,6.3938612E11,36.948463,0.0,380.6392,837.50146,Inf,0.0,0.0,2.1628567E9,Inf,0.0,0.0,0.0
28.0,0.0,7.7660736E8,0.0,0.0,1296.2415,2.25002914E12,410.52817,0.0,395.2721,861.30774,Inf,0.0,0.0,4.90588096E8,Inf,0.0,0.0,0.0
29.0,0.0,2.51163312E8,0.0,0.0,1404.8544,2.49442258E12,1180.076,0.0,418.7427,824.8269,Inf,0.0,0.0,1.05134928E8,Inf,0.0,0.0,0.0
30.0,0.0,3.26312128E8,0.0,0.0,1527.1163,3.31137312E12,1386.2512,0.0,820.31995,540.12897,Inf,0.0,0.0,1.37600352E8,Inf,0.0,0.0,0.0
31.0,0.0,4.159358E7,0.0,0.0,1667.8042,3.622062E12,1416.5696,0.0,593.08655,608.1129,Inf,0.0,0.0,4.9649741E9,Inf,0.0,0.0,0.0
32.0,0.0,6091126.0,0.0,0.0,1817.4186,2.91345872E12,1296.3673,0.0,484.99023,435.84793,Inf,0.0,0.0,4.6866976E7,Inf,0.0,0.0,0.0
33.0,0.0,6.8520678E8,0.0,0.0,1987.4106,2.01088172E12,1222.3042,0.0,323.41876,484.58777,Inf,0.0,0.0,8.1673608E7,Inf,0.0,0.0,0.0
34.0,0.0,2.83678285E9,0.0,0.0,2137.051,2.7380687E13,1369.0809,0.0,292.92786,359.82874,Inf,0.0,0.0,296322.6,Inf,0.0,0.0,0.0
35.0,0.0,2.8104491E11,0.0,0.0,2265.4478,5.6718868E13,1447.7064,0.0,107.07933,375.18698,Inf,0.0,0.0,5.00507328E8,Inf,0.0,0.0,0.0
36.0,0.0,1.97883331E12,0.0,0.0,2362.7563,4.8032771E13,1410.1969,0.0,115.12557,174.31586,Inf,0.0,0.0,3000665.5,Inf,0.0,0.0,0.0
37.0,0.0,3.58719095E11,0.0,0.0,2446.6306,3.20450907E13,1311.2141,0.0,139.65866,209.29797,Inf,0.0,0.0,5.12605856E8,Inf,0.0,0.0,0.0
38.0,0.0,7.9132787E10,0.0,0.0,2497.7993,2.20665752E13,1042.8284,0.0,114.636566,224.33904,Inf,0.0,0.0,4287936.5,Inf,0.0,0.0,0.0
39.0,0.0,2.68704498E11,0.0,0.0,2529.806,1.74881904E13,836.1961,0.0,44.360844,199.6709,Inf,0.0,0.0,1.7465824E7,Inf,0.0,0.0,0.0
40.0,0.0,1.29371005E11,0.0,0.0,2537.513,1.22304279E13,606.8161,0.0,16.605915,194.12265,Inf,0.0,0.0,1.2321334E7,Inf,0.0,0.0,0.0
41.0,0.0,2.33936973E9,0.0,0.0,2547.5566,5.2094657E13,463.9168,0.0,31.550774,206.40625,Inf,0.0,0.0,7.1453256E7,Inf,0.0,0.0,0.0
42.0,0.0,1.14236056E8,0.0,0.0,2548.524,8.9991628E13,327.8596,0.0,201.98634,349.48373,Inf,0.0,0.0,4.2298988E7,Inf,0.0,0.0,0.0
43.0,0.0,1.6389181E7,0.0,0.0,2555.8838,7.4428503E13,241.3409,0.0,18.847569,249.94875,Inf,0.0,0.0,5.863081E8,Inf,0.0,0.0,0.0
44.0,0.0,2980976.5,0.0,0.0,2558.811,9.1819883E13,185.54408,0.0,292.20538,225.92537,Inf,0.0,0.0,7.7663128E7,Inf,0.0,0.0,0.0
45.0,0.0,572039.8,0.0,0.0,2584.5522,8.1737237E13,136.89336,0.0,161.38718,247.93102,Inf,0.0,0.0,3.21901568E8,Inf,0.0,0.0,0.0
46.0,0.0,2.648409E7,0.0,0.0,2610.2861,8.3023798E13,96.96349,0.0,255.91199,160.80054,Inf,0.0,0.0,4.2271976E7,Inf,0.0,0.0,0.0
47.0,0.0,1.91705632E8,0.0,0.0,2628.1055,9.2334306E13,71.325966,0.0,153.17656,150.1388,Inf,0.0,0.0,6.5540384E7,Inf,0.0,0.0,0.0
48.0,0.0,4.7131248E7,0.0,0.0,2666.394,8.9836875E13,50.270893,0.0,119.65143,181.15575,Inf,0.0,0.0,1.06958982E9,Inf,0.0,0.0,0.0
49.0,0.0,7.1082256E7,0.0,0.0,2709.8352,1.04367361E14,35.738094,0.0,111.590485,131.39233,Inf,0.0,0.0,4.8534011E9,Inf,0.0,0.0,0.0
50.0,0.0,4.7349064E7,0.0,0.0,2752.7917,5.37026068E14,26.714912,0.0,104.39923,104.35044,Inf,0.0,0.0,4.163756E7,Inf,0.0,0.0,0.0
51.0,0.0,118382.31,0.0,0.0,2793.9866,5.28544715E14,19.407675,0.0,74.15332,152.08574,Inf,0.0,0.0,2.895747E7,Inf,0.0,0.0,0.0
52.0,0.0,69492.61,0.0,0.0,2838.6465,3.59861754E14,13.635137,0.0,337.0456,296.12265,Inf,0.0,0.0,1.41158224E8,Inf,0.0,0.0,0.0
53.0,0.0,1904347.0,0.0,0.0,2899.6104,3.4733669E14,9.675258,0.0,316.3823,352.88608,Inf,0.0,0.0,1.4142415E7,Inf,0.0,0.0,0.0
54.0,0.0,1.2469295E7,0.0,0.0,2970.0989,4.84183206E14,54.768105,0.0,106.74202,66.833954,Inf,0.0,0.0,8.1364144E7,Inf,0.0,0.0,0.0
55.0,0.0,5084280.5,0.0,0.0,3023.6948,4.45543231E14,1175.231,0.0,254.13417,74.05513,Inf,0.0,0.0,1.4877984E7,Inf,0.0,0.0,0.0
56.0,0.0,139748.62,0.0,0.0,3048.6812,1.32298831E15,1826.5688,0.0,117.48369,62.187088,Inf,0.0,0.0,1.32723416E8,Inf,0.0,0.0,0.0
57.0,0.0,722330.56,0.0,0.0,3083.2988,1.24185866E15,2187.6572,0.0,142.77437,106.918144,Inf,0.0,0.0,1.0647324E7,Inf,0.0,0.0,0.0
58.0,0.0,309996.06,0.0,0.0,3146.0913,9.3694698E14,2287.9736,0.0,159.74078,38.07064,Inf,0.0,0.0,1.0239943E7,Inf,0.0,0.0,0.0
59.0,0.0,142006.98,0.0,0.0,3220.3062,1.77846986E15,2417.364,0.0,162.51086,8.755211,Inf,0.0,0.0,3.6649376E7,Inf,0.0,0.0,0.0
60.0,0.0,2395768.8,0.0,0.0,3313.0088,3.47091286E15,2124.0974,0.0,10.595768,28.011736,Inf,0.0,0.0,3.7004272E8,Inf,0.0,0.0,0.0
