"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,39.345207,76613.68,47.21444,254.2593,557.6809,0.27062678,969.0236,0.62301576,2677.5837,96665.516,8028.0234,163.52571,372.31445,136599.95,50844.12,39043.727,24.314459,3.9962373
1.0,2.0,13.500293,240.82904,3.6045153,28.547983,315.3896,0.0,10.159573,0.0052477713,178.58969,0.0,441.72894,467.29535,14.27269,0.0,287.91592,24.845718,0.018302172,0.01240544
1.0,4.0,20.29333,89.21036,4.3192096,55.411453,451.61707,0.0,40.328053,1.2415039E-4,71.83317,0.0,106.54478,867.851,14.88126,0.0,73.94564,12.153083,0.017244468,0.0
1.0,6.0,16.50129,55.164093,5.622375,67.63723,573.437,0.0,45.65183,0.0,39.406887,0.0,42.654194,1302.9274,9.632749,0.0,36.516777,7.8548713,0.017350802,0.0
1.0,8.0,13.559392,32.157112,8.57483,63.14112,652.7992,0.0,44.291817,0.0,23.044525,0.0,24.339437,2148.0986,8.911101,0.0,0.0,4.2412095,0.01540389,0.0
1.0,10.0,10.833097,24.609251,0.0,63.46025,734.2983,0.0,43.708412,0.0,16.928303,0.0,14.804663,2319.5383,6.340595,0.0,0.0,1.4442537,0.01735942,0.0
1.0,12.0,10.383008,17.967363,0.0,60.177357,805.12537,0.0,39.00929,0.0,10.9868,0.0,5.0642834,573.7526,3.209499,0.0,0.0,0.0,0.019110156,0.0
1.0,14.0,4.260808,14.184698,0.0,54.837082,850.67816,0.0,32.968624,0.0,8.339238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018558225,0.0
1.0,16.0,0.0,7.443486,0.0,48.137997,873.9601,0.0,30.576008,0.0,1.1537663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,7.1239386,0.0,41.981136,880.31934,0.0,28.478142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
