"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.24788740890020156,0.5271222593658709,2.370023005818009,0.0,0.13895801470670738,0.0233827376616752,0.3725916364924744,0.19987512133761845,0.19922195898330833,0.01594808842128898,0.09793629732710808,0.09762539226022846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024704363740511735,
2.0,0.9949373693674405,2.051943834659278,2.897672206778736,0.0,0.2818105484517865,0.20459821812821083,0.3234333095020026,0.1962575139895184,0.19565169157746917,0.012546652807873723,0.09615529013549234,0.09584775898970567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005769730114828563,
3.0,0.38517486842751214,2.419951344263001,12.744252002134852,0.0,0.2606175884962067,0.26708462782264175,0.34239517885397497,0.19583843713404714,0.20074048031873928,0.014312412066090493,0.09594580686204365,0.09857223764172321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023366159778726,
4.0,0.15381052153740968,0.2744898182264353,6.743725901115953,0.0,0.25341193693945363,0.26685371408804176,0.3370975096455348,0.19987772409665389,0.19503626410180025,0.014533633828529461,0.09794100430583756,0.09493049122899455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4229995705289883E-17,
5.0,0.4149511929714125,13.192288681136342,4.065397054633588,0.0,0.2778106291871988,0.2734567658101612,0.1430957534548362,0.187264475114201,0.1921297065259451,0.005533802857052953,0.09260329303750109,0.0941259587540609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2378660052920738E-8,
6.0,2.176596255406084,44.33048432678748,Infinity,0.0,0.2561412107258583,Infinity,0.38529229273886934,0.17490413963070495,Infinity,0.012593119344068378,0.0863989023588013,Infinity,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,Infinity,
7.0,2.3048157341042588,32.6093282468249,20.981252001011615,0.0,0.18708721642972784,0.0,0.3555788721808675,0.17153066487629545,0.018352638743462702,0.011044235728275372,0.08104215232561533,0.008719241740480756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,2.299244575600191,21.36747648621429,0.0,0.0,0.11485312615946001,0.0,0.3558434154779995,0.1742559023022144,0.0,0.01110043261111693,0.08702774576170917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,2.313109409460117,21.414201457744774,11.431624850737277,0.0,0.18736122872897937,0.0,0.35588359915467654,0.1669506138684029,0.02716388170799945,0.011024321200564995,0.08216537751385913,0.015340333589147128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,2.4782262963397366,19.17152273310585,13.712421440005667,0.0,0.1944754102832618,0.0,0.39325811734607646,0.16816937964649498,0.044210950148394705,0.012400314383496664,0.0824229424131201,0.02262753795823516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,1.7327545905593897,33.94163696870302,0.0,0.0,0.1722369117368224,0.0,0.34108874317719895,0.174943734707326,0.0,0.011528229046567808,0.08279018587563805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,2.724078716702987,31.118146307788695,24.90387384930883,0.0,0.15195397388373771,0.0,0.3991840182110738,0.16603245756894117,0.05129882228547203,0.012091068686395286,0.08053263936998276,0.025088683521450484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,1.9206257794344608,39.068013373693915,11.213587879581661,0.0,0.11893266276281146,0.0,0.3792572668769421,0.1644208178743308,0.09585815141257735,0.012829121992333388,0.080818720131958,0.04683640579238647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,2.655801313579889,38.199987946689404,11.568984595276238,0.0,0.13667070850360377,0.0,0.39790396625547486,0.16507065007573,0.07396381894869669,0.012230103787260794,0.08283560284996458,0.037135273243559024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
