"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.07568687222698885,0.21905489675548576,0.007534469561697232,0.0,0.18392927990160218,0.1516739122770133,0.33501645744063274,0.24968831089720553,0.24999907418301426,0.0,0.0,0.4119999266538542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1273087277098794E-5,
2.0,0.11710214291799635,0.19946552927524672,1.264734471303627E-4,0.0,0.19631757021500432,0.20276299951100166,0.3359553369472988,0.24969448268680092,0.25000291446814377,0.0,0.0,0.41201732911470645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1279118123010934E-6,
3.0,0.012090140993574213,0.06581219952647244,1.105527370517919E-9,0.0,0.23196879339848964,0.2661091839715446,0.3336015185024263,0.24994595798002303,0.24996813447891222,0.0,0.0,0.41205593469492824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222017348794983E-14,
4.0,0.05495041574262311,0.19664470846226859,5.092375038041439E-15,0.0,0.20830654564349507,0.20820793993010053,0.3345556960140255,0.24968686314978478,0.2499961317304448,0.0,0.0,0.4119961599399807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9263434923904675E-21,
5.0,0.0596538700976792,0.2780483154836683,1.820973070497589E-19,0.0,0.21601057603959223,0.21491953336578332,0.3346623289048251,0.24952677648039298,0.24999616908056593,0.0,0.0,0.41199268391264715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2214174498525508E-29,
6.0,0.005097442429968612,0.003610119343230468,6.203198335475433E-25,0.0,0.27688770537417656,0.24983902351369386,0.33344633782933225,0.2499995012716282,0.24998953178912003,0.0,0.0,0.41202841079728586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.1812879846730474,0.1435462315329822,1.3858877846055576E-24,0.0,0.268402209797171,0.1837916720185521,0.33739769040277706,0.2496819987278934,0.2500020464293041,0.0,0.0,0.41199532306998526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.0011749647138554122,0.037476580748423964,1.8857768952971377E-24,0.0,0.23702804419913567,0.2135182923529136,0.33335937672547616,0.24998758058345122,0.2499804726149116,0.0,0.0,0.41200148099694867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.017976723074867994,0.015623185614694574,6.062092741509984E-28,0.0,0.2781226720707694,0.2299772555482314,0.33373244742884306,0.24999690337260927,0.2500096523155469,0.0,0.0,0.4119949848473186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,2.704103185483185E-4,0.011829868904415853,1.3195951003115202E-28,0.0,0.24346811031628657,0.2599810656180785,0.33333932667937954,0.24999261926265248,0.25001536231643656,0.0,0.0,0.41197143274674786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.0024976730355319087,0.002309462848232742,2.7328640074054807E-28,0.0,0.2829694785003479,0.28440466302416456,0.3333886996491701,0.24999969489472817,0.2499977069272166,0.0,0.0,0.41199100960614893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,0.031007785077578717,0.014674084170363106,3.9464956334950623E-28,0.0,0.28398211570145293,0.17486256323296814,0.3340219568943226,0.24997692597743576,0.2500065869736036,0.0,0.0,0.41199236516661253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,4.8516005266581024E-4,0.010948396195016351,1.1759732612609774E-28,0.0,0.2461669442624302,0.14378687373365476,0.3333440865764999,0.249986358641607,0.2499840319674062,0.0,0.0,0.41200957633702434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769822261920492E-41,3.050365702128866E-34,
14.0,0.005626563128054529,0.0063640918677219755,2.9017011898304155E-30,0.0,0.27404349468231404,0.17784604003456625,0.3334581004268111,0.24999798328718142,0.2500014058014869,0.0,0.0,0.41199301777505737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7082657450322904E-35,1.9205262305473208E-27,
15.0,0.07991589640861559,0.18463024047440163,3.199800921241226E-28,0.0,0.2740288339358088,0.1759210184989929,0.3351168317671505,0.24971200323564052,0.250013752136756,0.0,0.0,0.41199188446090845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693711357153898E-29,4.206753083003878E-23,
16.0,7.11796902596484E-4,0.09340340310949295,1.148875832537166E-32,0.0,0.23506649653668185,0.15341598206669121,0.33334911057590905,0.2499275509185686,0.2499831809670189,0.0,0.0,0.4120145259335356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.495425852483817E-28,1.3201782363855971E-23,
17.0,4.135286917313226E-4,0.0026929982570789083,1.7607013746400777E-36,0.0,0.2827878308045798,0.21222352182245238,0.33334249904886315,0.24999910186021218,0.250012471666137,0.0,0.0,0.4119985164443653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5199633659161798E-23,2.8902314474060043E-18,
