"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.017251031506541337,1.007656603007012,3.332369578476774,0.0,0.07710144989924111,0.017042587164841968,1.4448473249773137,0.1999248528216048,0.1983481629094977,0.0,1.0301780057969411E-4,0.01169132226250775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0405838442393345E-6,1.1809416426775502E-4,0.0,0.0,0.005869534793939594,
2.0,0.03301734271634599,3.9211396205648525,0.8790812730590232,0.0,0.10809014770118737,0.14997213337713855,1.4793711636324263,0.19753466270943,0.1999776298474302,0.0,9.373878575638895E-6,6.442290890215747E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.468564217817063E-8,6.507364535571463E-6,0.0,0.0,3.158589365201888E-8,
3.0,0.04172702712755963,5.7110900925659625,1.6591471852458344,0.0,0.11052610838810992,0.18941053755886697,1.5013840201299917,0.19675765871771694,0.19976571685196062,0.0,3.6928805119466368E-6,2.67074702168159E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7301823352996334E-8,2.6977242643248384E-6,0.0,0.0,0.0,
4.0,0.039836488339906356,4.842087320977808,2.313440564414769,0.0,0.09359142887054864,0.14342118972659937,1.4963717245704495,0.19668302328561546,0.19949542409288668,0.0,4.107183935752031E-6,4.146814669234203E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.148670642173768E-8,4.188701686095155E-6,0.0,0.0,0.0,
5.0,0.029794146483761857,5.320018987526332,3.9739592210072936,0.0,0.0889685202107821,0.09639913791423783,1.4715913053082224,0.19510110840078457,0.19938724918388673,0.0,2.0377619315817774E-5,2.469494875953174E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0583453854361387E-7,2.49443926863957E-6,0.0,0.0,0.0,
6.0,0.029714987930118567,6.210832894028787,4.376250487031331,0.0,0.08309084692951117,0.10358649262857272,1.4717284367345007,0.19455611013434737,0.1992665173399069,0.0,5.499188891490496E-5,0.0012783744499404546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.554736254030803E-7,1.2912873231721764E-5,0.0,0.0,0.0,
7.0,0.03116068325427556,7.139168507682071,2.8249947779487923,0.0,0.09422290605809377,0.09946442437244735,1.4751140605695887,0.19436490820044353,0.19953167812189188,0.0,4.914522431262693E-6,0.001632532628980405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.964164071982518E-8,1.6490228575559643E-5,0.0,0.0,0.0,
8.0,0.03689957261540512,7.351506947109299,1.5284627807852171,0.0,0.09370021477214246,0.14463094590331163,1.4889490970177919,0.19363813682881448,0.19991031889428013,0.0,8.021474806367382E-7,2.930674997992113E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.102499804411496E-9,2.9602777757496087E-6,0.0,0.0,0.0,
9.0,0.033539918637049956,6.276614984779284,1.4525832192293167,0.0,0.084878345319489,0.15871002215512905,1.480559811932195,0.19545441930951324,0.1997209331618829,0.0,9.712828460146155E-6,5.538106594499367E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.810937838531471E-8,5.594047065150875E-6,0.0,0.0,0.0,
10.0,0.03345488452217456,6.476275871869352,2.214441184029966,0.0,0.07898347481264933,0.11721941042696143,1.480560646661699,0.19446873783328378,0.19948065808673837,0.0,1.2909858684210441E-5,4.043415460208166E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3040261297182266E-7,4.084258040614309E-6,0.0,0.0,0.0,
