"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.49563859157313195,2.3094684331940867,0.11472409003783024,0.0,4.7857346535346484E-4,3.447891675860153E-4,0.27798326549587005,0.10190002006785015,0.10203164714353265,0.0036028481553077706,0.030970375327901613,0.031009226814317725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014892521343062291,
2.0,0.483907656229383,2.0910855487601125,0.045596927176701565,0.0,0.003222197067398467,0.002921535544242043,0.2776979822431766,0.1016918932191684,0.10202756126428146,0.0035966290994673745,0.03090825918201173,0.031007961494999185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428582273562932,
3.0,0.5816368312242022,1.88744045802274,0.05196967231009003,0.0,0.005472574536410142,0.0019922333634132044,0.2799356245498606,0.10175552516556559,0.10201955760772012,0.0035660378595777347,0.03092823066233934,0.03100576250347167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012511494650147285,
4.0,0.5739217716972642,1.8276301912017436,0.047843615182522954,0.0,0.004097001879677318,0.004143726659681564,0.27977250591569,0.10148165600056078,0.10200677590797388,0.0035689327562091564,0.030838407182108916,0.0310012001161205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010812638297907183,
5.0,0.6874956944011781,2.078070228790754,0.03887824379655044,0.0,0.006008093245536553,0.0036201723282466283,0.2823998721880551,0.10123435636291343,0.10200671203034434,0.003527749231099604,0.03076817815623261,0.03100167185131909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916098226942164,
6.0,0.7427810604136043,2.2279999814894778,0.02692858838930707,0.0,0.004587281315454006,0.0047512929057802475,0.28372625911954547,0.10070490756837874,0.10200602260240718,0.003517503949044244,0.03061249707306444,0.0310014510196415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008126344540377913,
7.0,0.8749016437525323,2.3777938079051735,0.026759956214631585,0.0,0.0038772406542860864,0.004644241563242367,0.2868104526751713,0.10057234492895495,0.10200026892308803,0.0034626164437622196,0.030553844404492887,0.030999269988052826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007321881641675256,
8.0,0.7343304961610326,2.2608330361985662,0.029180495415843978,0.0,0.003893848777301799,0.006271763629621363,0.2835222809933845,0.1003718127609725,0.1019997142136824,0.003512671345622144,0.030498698673936904,0.030999310820916937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006679620097816492,
9.0,0.5938777490838941,1.8043196854543062,0.03682244187610982,0.0,0.0032054620092716443,0.005774311677446417,0.2802299990576002,0.10066670458330143,0.10197144613320434,0.0035423024335245997,0.03059372867856505,0.030990231190097087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005862594854871181,
10.0,0.7177537884586055,1.9389892049161292,0.07228056781753037,0.0,0.0024277116722059154,0.00527591485732109,0.28310515372585804,0.10060461697168396,0.10193949526498718,0.0035081631054652,0.03058018099703255,0.030981662576388225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999358300058643,
