"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.4595299430133212E-5,1.5293374542059472,1.0961011712599082,0.0,0.0,0.0,0.3126461054130353,0.21005860678745383,0.19498076506094483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.001760514938334047,4.592591281662668,0.24814241557551142,0.0,8.123478707474076E-4,0.0,2.2055970446530186,0.15257401640918747,0.20981109734092634,0.0,0.0,0.05237156707132583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.290057279931903E-4,0.0,0.0,0.0,
3.0,0.0025100970311169838,7.677079770965515,0.5354615481643561,0.0,5.437164009329916E-4,0.0,2.213592053339045,0.20405160525381608,0.20922456404226572,0.0,0.0,0.029632759279567746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.993208008037146E-4,0.0,0.0,0.0,
4.0,0.002899642127767949,9.035472752227852,0.21918311600145135,0.0,2.218632046755509E-4,0.0,2.217831092892094,0.20049530034938395,0.2094096279983897,0.0,0.0,0.06289403120738045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.352932445189946E-4,0.0,0.0,0.0,
5.0,0.0025770054562875046,8.482490334204861,0.02686203348292623,0.0,6.961785588858482E-4,0.0,2.214265108751039,0.20463015906076332,0.20985970446745494,0.0,0.0,0.016263427517856626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.642770456349154E-4,0.0,0.0,0.0,
6.0,0.002134436647578135,8.382840194446366,0.1940037428781986,0.0,6.581951912513231E-4,0.0,2.2096041392453443,0.20351699926422173,0.20971872203485295,0.0,0.0,0.06763481355976278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.831799349470988E-4,0.0,0.0,0.0,
7.0,0.002576613125719723,6.370267081150151,0.21158801193857585,0.0,6.526791183831735E-4,0.0,2.2143464574628893,0.20476331425667424,0.20986020435228375,0.0,0.0,0.023313215610102845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3548702636467522E-4,0.0,0.0,0.0,
8.0,0.0019149497288866216,7.465877786429603,0.15066824740927193,0.0,1.2162339420896125E-4,0.0,2.207257388887117,0.20529074382991216,0.20995670140524453,0.0,0.0,0.027989858733213722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.827258457900376E-4,0.0,0.0,0.0,
9.0,0.002412726864687649,7.309950809516188,0.09443865452176062,0.0,0.0018995972149990258,1.9184833736291362E-4,2.2126034056067234,0.2055624527227349,0.20992552421953642,0.0,0.0,0.03816977112011971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8555324363757275E-4,0.0,0.0,0.0,
10.0,0.003384642534119186,6.426504137140446,0.06595867976077402,0.0,0.0011182563499391248,1.909296262233745E-5,2.2229549180377357,0.20563092893252555,0.2099691800592459,0.0,0.0,0.027466033458024466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7743468139418653E-4,0.0,0.0,0.0,
