"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.004953958324652417,0.03700778176825851,0.002736949003187469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005564387591818637,
2.0,5.526564851080156,7.169923771910483,0.006159766421112375,0.0,0.03567471248814612,0.042024753922934734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7053226003970666E-5,
3.0,7.438035884126131,10.641501395096073,0.10149435320714005,0.0,0.04781938970385321,0.07515646949953356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.472348037624984E-7,
4.0,6.943700066891913,10.508342760401092,0.04085548876371466,0.0,0.06711768303338835,0.07545692508118186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.275715033463154E-7,
5.0,2.862950529847771,5.0324142932469265,0.6110939817943681,0.0,0.06492572672337507,0.04845053342438738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.364225303452942E-7,
6.0,5.1990238062687535,9.001001379902654,2.828697918994398,0.0,0.08216854938191452,0.07780465746929481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.957932016147275E-7,
7.0,6.5278066188227575,11.609284552728534,2.6647474444944756,0.0,0.10557519299203855,0.08430124876208267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.782989856598143E-7,
8.0,4.955993580490572,9.971618504140721,2.090046912643965,0.0,0.11106573866349084,0.06165960449400466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1613102108774408E-6,
9.0,3.255122119855405,12.118707882179645,0.17937422711887732,0.0,0.09888444568168032,0.07196059854092078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6236386018202946E-6,
10.0,4.037683001794053,8.35571831623466,2.177449244584597,0.0,0.10193100834376642,0.09392398492892463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712649109372557E-6,
11.0,4.030386412345747,6.842920543598297,4.0286438483788,0.0,0.12079846538230059,0.07488651216384666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124457287554698E-6,
12.0,3.866397235919448,6.032035059985342,1.885785909793216,0.0,0.12952459601116928,0.14488963707349153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958638971268105E-6,
13.0,3.0310289031799678,7.975251162728806,4.911493745682213,0.0,0.10742712250893126,0.06177018055360597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1990198832626108E-6,
14.0,4.091699094942772,9.025187852963821,4.928821228965224,0.0,0.0990282571779433,0.0951702259543776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.111902742011627E-6,
