"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,2.1200387,9.396711,2.7643702,2.1973205,69.53962,31.958544,5.006686,5.294316,14.676804,1.6103371,47.332493,29.212133,6.4129004,1.1588395,16.680782,8.105661,4.449603,1.9233139
2.0,1.422136,10.895063,1.8798475,2.1353967,60.77417,12.731064,7.6333895,5.3580146,10.343407,5.3316016,69.53204,30.320063,6.837659,1.3724177,17.927382,5.386361,4.100473,1.8261242
3.0,4.406015,8.210105,1.7059664,1.8689722,62.276436,9.76729,6.6393046,16.879307,9.270911,5.592471,79.809,32.599987,7.2461443,1.5642047,17.893862,4.781467,1.8068857,2.9493525
4.0,1.7852855,8.657748,1.6823193,1.6157424,66.23541,9.458032,4.370539,NaN,9.548772,5.636705,85.981445,33.966766,7.4000874,1.542281,17.634005,5.2412405,2.1690357,3.1395943
5.0,4.0587993,9.210522,1.7264587,1.5244099,67.23836,8.900949,4.6000595,NaN,10.259452,5.3566275,89.54879,31.955498,6.7919807,1.5260932,17.946222,5.3535223,2.1000586,3.3929849
6.0,5.6618114,10.201513,1.564612,1.6677109,65.002754,8.401146,4.46861,NaN,10.708531,5.772218,92.12819,33.570717,9.561917,1.4038517,17.90828,5.6127696,2.7230573,3.2368717
7.0,10.078315,8.923808,1.6735415,1.6627327,63.91126,10.898135,4.9702826,NaN,10.939612,5.364194,93.71184,29.347816,6.4244747,1.5003899,18.083124,6.0319953,2.4220314,3.0102253
8.0,1.5808086,9.945471,1.4209546,1.2159609,62.920185,10.285923,4.692301,NaN,10.77603,5.583498,95.27458,27.346493,9.09057,1.4766843,18.694431,6.4632006,7.8955426,2.758159
9.0,7.881676,11.033399,1.5389471,1.0914712,63.057327,9.951495,4.7654057,NaN,10.538268,5.62146,97.12065,27.166107,6.8455057,1.4764959,18.50283,6.5566044,NaN,2.6727562
10.0,10.221123,11.062355,1.5224854,1.1205289,61.68193,10.880463,4.781064,NaN,11.057517,5.479917,99.0078,27.037663,7.2455397,1.5300126,18.410526,6.23788,NaN,2.851549
11.0,11.529086,11.699479,1.5049347,NaN,60.841404,10.621192,4.639894,NaN,11.008468,5.862814,100.998344,27.55852,7.3532977,1.4464153,18.3799,6.4888372,NaN,2.6360803
12.0,NaN,8.328349,NaN,NaN,60.62405,10.016155,4.3395176,NaN,10.960582,5.7826324,102.532295,26.569366,8.219677,1.4564284,18.306595,5.2057424,NaN,2.7760956
13.0,NaN,9.300097,NaN,NaN,60.784985,10.594892,4.337569,NaN,10.659276,5.689813,105.493805,25.16898,9.944273,1.4863307,18.310015,5.2985735,NaN,2.7363844
14.0,NaN,10.254917,NaN,NaN,61.20319,12.640334,4.3087406,NaN,10.444552,5.4593534,133.53096,NaN,5.2930403,1.4327801,18.306192,5.915831,NaN,2.973049
