"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton"
1.0,89.91107,427687.1,1030.9747,472.5529,14440.491,22.247297,9957.196,0.0130555155,201854.56,210065.55,2.58700304E8,6307.437,809.4994,9.688526E13,2.53782624E8,161704.62,0.82709086,0.128168,301.9848,15477.276,15116.103,9130.188,11935.768,5183.0566,8416.085
2.0,2.4003093,1454252.0,15753.598,204.70308,14447.362,18872.625,35814.87,8.075777E-4,1674094.0,182870.98,3.52494328E15,2240.5127,1857.3197,1.8381851E14,9.0862637E14,417937.03,0.6162723,3.7226708,155.57458,12900.068,13776.04,8696.921,10884.647,4606.1357,7810.3047
3.0,0.005587397,1.9660568E8,22943.758,351.62994,14085.355,173798.62,41239.95,0.0,2918524.8,157005.55,6.7492675E18,821.65186,974.6051,2.2944496E20,1.07005715E18,166732.4,0.005024125,59.510048,266.16373,11345.242,13564.17,8877.997,10619.125,4743.36,8104.37
4.0,0.0,5.8331578E8,12146.531,453.0255,14031.75,1235071.6,46422.742,0.0,1957265.5,8221.742,9.1147676E23,267.77,220.7876,4.624528E26,1.2678423E24,14682.328,0.0,129.77568,94.451614,15312.94,14761.559,9339.509,12422.26,5267.4707,8527.836
5.0,0.0,2.81991905E10,6760.4614,303.77008,14392.698,1.1902689E7,56820.395,0.0,1276727.5,4934.6504,2.0122045E29,60.999474,202.36517,6.80596E26,1.4927862E28,16146.4,0.0,57.303646,89.73258,14814.796,15029.368,9053.261,11547.646,4769.715,8085.394
6.0,0.0,5.2944747E12,3275.2844,0.0,14965.824,8.693064E7,56924.688,0.0,378109.62,1726.604,2.644556E30,8.83541,42.435997,2.8487733E25,8.826296E28,4173.928,0.0,13.3715105,210.24161,13652.561,13341.227,9240.974,11388.022,4676.919,8038.814
7.0,0.0,1.08635022E13,1612.2777,0.0,15700.763,3.53491392E8,52097.51,0.0,106063.0,2699.5828,1.6903833E31,1.6489332,0.2580772,2.5806408E8,2.885618E30,522.6167,0.0,30.155352,122.94853,15685.678,15180.784,9538.434,12515.711,5476.4956,8703.479
8.0,0.0,1.21792218E13,894.0952,0.0,16283.6455,8.4659142E8,50276.92,0.0,43328.516,2587.0923,6.724137E33,0.6216232,0.0,2.07597862E9,4.551323E31,3.5574858,0.0,0.0,159.37334,14432.471,14080.854,9018.397,11764.955,4988.883,8277.823
9.0,0.0,5.6278563E12,326.3852,0.0,16595.89,1.6115895E9,45467.098,0.0,14072.154,2800.9927,7.52149E34,0.27256197,0.0,3.12360384E8,2.5906065E33,0.0,0.0,0.0,191.63576,14934.081,15318.71,9342.503,12092.965,5214.243,8657.823
10.0,0.0,2.27820857E12,216.59398,0.0,16885.861,2.41135718E9,38555.824,0.0,4051.498,2200.3655,1.2263356E37,0.15069044,0.0,2.55659366E9,3.6349398E34,0.0,0.0,0.0,185.2316,13164.852,14230.622,9360.29,11212.471,4896.651,8452.233
11.0,0.0,7.0314695E11,31.55612,0.0,17092.773,3.82725555E9,31738.37,0.0,3604.7117,2186.3267,8.682475E37,0.08699259,0.0,1.68179999E10,4.763808E35,0.0,0.0,0.0,333.3399,15884.573,15059.147,9419.006,12506.829,5120.307,8648.302
12.0,0.0,2.03755143E11,5.1742363,0.0,17351.516,4.6611072E9,27471.451,0.0,2161.2896,2090.4626,1.9058504E38,0.050194386,0.0,3.9036352E8,6.246646E36,0.0,0.0,0.0,102.28645,15592.176,15435.722,9353.077,11831.957,4809.5938,8378.099
13.0,0.0,8.1236189E10,0.0,0.0,17751.152,5.0005801E9,22554.398,0.0,3403.8633,3593.6558,Inf,0.012802615,0.0,6.1594381E8,8.853889E37,0.0,0.0,0.0,420.85806,14276.44,15360.611,9242.041,11881.473,5186.9443,8683.337
14.0,0.0,2.73569178E10,0.0,0.0,18302.943,9.142357E9,22121.592,0.0,2622.962,2306.2737,Inf,0.0,0.0,1.22097165E9,Inf,0.0,0.0,0.0,207.93126,16080.133,15780.245,9311.067,12458.941,5216.757,8665.801
15.0,0.0,3.7279259E11,0.0,0.0,19126.283,3.17708493E10,12080.056,0.0,2706.8135,4248.909,Inf,0.0,0.0,4.07004314E9,Inf,0.0,0.0,0.0,126.225,12903.956,13754.268,8930.535,11114.4375,4932.035,8141.297
16.0,0.0,1.80133875E12,0.0,0.0,20163.203,6.218086E10,10110.294,0.0,1689.9337,3037.5903,Inf,0.0,0.0,1.16046608E8,Inf,0.0,0.0,0.0,147.1105,12721.384,13467.15,8890.946,11080.138,4806.788,8157.943
17.0,0.0,8.1450762E11,0.0,0.0,21490.615,8.7829823E10,8636.16,0.0,1165.8348,2575.798,Inf,0.0,0.0,4.34901408E8,Inf,0.0,0.0,0.0,77.89025,11332.333,12607.289,8485.933,10032.55,4381.208,7404.9414
18.0,0.0,3.61107392E8,0.0,0.0,22906.857,7.9173747E10,6253.4043,0.0,2500.6582,5292.042,Inf,0.0,0.0,4.469611E9,Inf,0.0,0.0,0.0,102.59696,13058.639,13636.562,9027.516,11183.948,4975.2207,8203.626
19.0,0.0,8.4282864E7,0.0,0.0,24303.479,6.836702E10,5061.9053,0.0,3921.9602,2882.6162,Inf,0.0,0.0,4.3987456E9,Inf,0.0,0.0,0.0,183.16678,13084.376,13842.779,9150.582,11320.602,4992.12,8347.466
20.0,0.0,2.5000398E7,0.0,0.0,25775.312,7.5060429E10,3536.379,0.0,4524.617,2609.7285,Inf,0.0,0.0,8.1624282E8,Inf,0.0,0.0,0.0,31.609549,13815.743,14518.087,9106.371,11343.208,5126.7974,8396.906
21.0,0.0,5.7408468E7,0.0,0.0,27247.275,1.00726735E11,2836.6882,0.0,4959.808,2369.6753,Inf,0.0,0.0,1.28033357E9,Inf,0.0,0.0,0.0,301.9848,15477.276,15116.103,9130.188,11935.768,5183.0566,8416.085
22.0,0.0,4.4145424E8,0.0,0.0,28687.799,1.241832E11,2380.2073,0.0,3474.1245,2715.0032,Inf,0.0,0.0,4.6305147E9,Inf,0.0,0.0,0.0,155.57458,12900.068,13776.04,8696.921,10884.647,4606.1357,7810.3047
