"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,2.6521406,2.9303427,3.0084758,2.819729,3.3975646,3.3036788,4.04925,2.7958796,2.807512,2.9570897,3.8498557,2.9905593,3.0420382,2.7261293,3.0538468,2.7733545,2.7457812,2.6087337
2.0,2.722597,3.021604,3.2977674,2.8978944,3.3869133,3.4615765,4.189454,2.8731668,2.9152856,3.024406,4.0131383,3.1510775,3.167687,2.7120962,3.2266972,2.8010728,2.7742126,2.61368
3.0,2.711092,2.9716706,3.2006388,2.8353364,3.435598,3.5160165,4.1716633,2.8957293,2.8704686,3.0290666,4.033961,3.200692,3.1650283,2.6953151,3.232387,2.7811878,2.7995756,2.6464732
4.0,2.684351,2.904681,2.9591327,2.7985396,3.3912442,3.3973343,3.9050806,NaN,2.8049529,3.0354352,3.9677007,3.120085,3.0955107,2.6545665,3.142592,2.7232141,2.81738,2.6164613
5.0,2.69059,2.9102628,3.0250478,2.8058128,3.4265623,3.4665196,3.9223819,NaN,2.8110888,3.0160737,3.998226,3.173766,3.0866766,2.6821108,3.1335614,2.7276735,2.8773131,2.9367168
6.0,2.6783874,2.908265,3.0433679,2.7887695,3.428565,3.4292862,3.8250442,NaN,2.7852862,2.9929295,3.9937265,3.1890414,3.103161,2.6695771,3.175384,2.7224658,3.1219904,2.9539306
7.0,2.6824658,2.9029698,3.0076787,2.7880406,3.4259353,3.5074658,3.7244139,NaN,2.7715101,3.0544524,3.9822757,3.1668973,3.1113243,2.6667023,3.1456065,2.7106013,3.220543,3.0258508
8.0,2.693441,2.924066,2.9984088,2.830941,3.4949343,3.5434349,3.5540843,NaN,2.7941878,3.083565,3.9846253,3.1330888,3.1424315,2.690273,3.2366352,2.7260885,3.3394034,2.953855
9.0,2.6938214,2.9048612,2.9755542,2.822735,3.4907753,3.472075,3.7880597,NaN,2.7803643,3.0780108,4.022846,3.2706754,3.1358433,2.6894135,3.2042894,2.7311187,3.14056,2.9403107
10.0,2.6900234,2.8894374,2.9926782,2.812173,3.5191925,3.4645123,3.749239,NaN,2.771747,3.0275624,4.0133457,3.0502872,3.1560423,2.678686,3.2007458,2.7130487,3.0778165,2.849213
11.0,2.6917136,2.8928976,2.981326,2.8135214,3.4894185,3.4060738,3.6395626,NaN,2.7696834,3.085844,3.9844615,3.1968582,3.1465662,2.6677258,3.1947873,2.7233658,2.9953635,2.866257
12.0,2.6810262,2.9032612,2.9703543,2.8037903,3.4981184,3.4252179,3.6341832,NaN,2.778152,3.0720344,3.9808996,3.4165487,3.1303194,2.6705341,3.198858,2.7169735,3.0454664,2.9156783
13.0,2.7113335,2.9207923,2.9999583,2.8500564,3.5181024,3.4129028,3.746791,NaN,2.7830021,3.054853,4.0564313,2.9910548,3.1914723,2.6925437,3.2196717,2.7312205,3.0340455,2.9783707
14.0,2.686017,2.8890228,2.9565904,2.8300958,3.4954143,3.3588064,3.7812366,NaN,2.783407,3.052865,3.987467,3.2580478,3.1318867,2.6840246,3.2004123,2.7079933,3.053188,2.8901005
15.0,2.7018793,2.8935285,2.977232,2.833454,3.508663,3.4022472,3.817635,NaN,2.7769034,3.0966845,4.0528283,3.2573757,3.1408246,2.6717687,3.226507,2.7189758,3.0791855,2.934767
16.0,2.6901634,2.8901443,2.9651642,2.8119884,3.533789,3.364385,3.8472412,NaN,2.7854211,3.091134,4.0273094,2.9880967,3.1376774,2.682555,3.2039468,2.728465,3.0942206,2.9473228
17.0,2.7048469,2.9100506,2.9723244,2.8254051,3.5021589,3.3940282,3.7919247,NaN,2.800645,3.0651557,4.094011,NaN,3.1396608,2.6965635,3.1996012,2.7265084,2.9977267,2.964412
18.0,2.6985445,2.957446,2.9722645,2.8372512,3.5231323,3.3805382,3.7057068,NaN,2.798878,3.0776532,4.095023,NaN,3.1641767,2.6944342,3.2250228,2.7662466,3.0922928,2.891114
19.0,2.6917603,2.9229205,2.956686,2.7917633,3.4836605,3.3621686,3.6897168,NaN,2.7883976,3.055688,4.056872,NaN,3.1390219,2.664332,3.2182271,2.719668,3.227002,2.8674386
20.0,2.6977232,2.900342,2.9542863,2.8221788,3.5037782,3.3881989,3.6780903,NaN,2.7899883,3.0846355,4.038819,NaN,3.1620662,2.6887345,3.2239962,2.7107012,3.2121596,2.8556247
21.0,2.6891115,2.904174,2.9592319,2.8040621,3.4940748,3.3392065,3.7606108,NaN,2.7805228,3.049789,4.0298333,NaN,3.1175475,2.679935,3.180643,2.7080843,3.1284778,2.7922835
22.0,2.6927836,2.9066458,2.9737892,2.8373766,3.49307,3.3709235,3.7934444,NaN,2.8152816,3.0683453,4.052053,NaN,3.1446483,2.6914659,3.1753333,2.7352762,3.1573026,2.7992842
23.0,2.7022238,2.9087603,2.98542,2.8317971,3.578618,3.3693964,3.7920792,NaN,2.8095295,3.1091757,4.0686483,NaN,3.1787567,2.6887083,3.2309225,2.737124,3.1800163,2.8078697
24.0,2.6757455,2.8863833,2.9263008,2.802505,3.4483154,3.3154185,3.7321446,NaN,2.775553,3.0320249,3.998872,NaN,3.1163514,2.6691144,3.1477368,2.7140133,3.1677978,2.8137763
25.0,2.6998856,2.8862236,2.944535,2.8186903,3.457656,3.3806949,3.687915,NaN,2.772452,3.052822,4.011653,NaN,3.1577117,2.6850438,3.2130818,2.7320044,3.2128594,2.8502848
26.0,2.6792557,2.889471,2.9662948,2.807992,3.5303445,3.3549595,3.7001505,NaN,2.7966874,3.056634,4.0744495,NaN,3.1402485,2.679355,3.2136047,2.7366824,3.20611,2.8157978
27.0,2.6728358,2.8977444,2.9398346,2.8019426,3.4816148,3.370524,3.6767018,NaN,2.781767,3.0563366,4.046459,NaN,3.1307209,2.6721451,3.162418,2.7257764,3.1779642,2.8403687
28.0,2.6869967,2.9039416,2.9587739,2.8126674,3.526528,3.3737888,3.7701054,NaN,2.7840202,3.0817068,4.0852804,NaN,3.1487787,2.68365,3.1953392,2.735812,3.2250054,2.8338747
29.0,2.6906354,2.9114969,2.943379,2.816529,3.5051615,3.3392465,3.7499006,NaN,2.8016932,3.0659304,4.085196,NaN,3.1440458,2.6734943,3.18347,2.7138622,3.2383642,2.8550348
30.0,2.683646,2.9151473,2.9480975,2.8131819,3.4899507,3.3385816,3.7404923,NaN,2.8017364,3.0655537,4.0029573,NaN,3.126721,2.68261,3.1714056,2.7149115,3.2063565,2.825242
31.0,2.6908317,2.891708,2.9447274,2.8228166,3.4553232,3.3034744,3.746057,NaN,2.7976966,3.0626493,4.050563,NaN,3.1225111,2.6732504,3.1831257,2.7194633,3.2444258,2.843539
32.0,2.6785026,2.8824716,2.9281986,2.8146634,3.500732,3.3279727,3.7280588,NaN,2.792936,3.0693462,4.080434,NaN,3.0940363,2.6709452,3.167181,2.6982095,3.2293296,2.8074548
33.0,2.7038763,2.9101427,2.9868565,2.8659675,3.516434,3.3726704,3.764754,NaN,2.8140147,3.0813596,4.074272,NaN,3.1345603,2.6940057,3.2025745,2.7317488,3.1752033,2.7821434
34.0,2.678899,2.9009652,2.9684157,2.8584926,3.571066,3.33411,3.7468064,NaN,2.786231,3.0580313,4.052634,NaN,3.107828,2.6851437,3.1526668,2.7228274,3.1841424,2.7517834
35.0,2.7000144,2.8991482,2.977011,2.854776,3.563828,3.341932,3.7629821,NaN,2.7798684,3.0702853,4.0691066,NaN,3.1331642,2.6786456,3.2313182,2.7213302,3.2501621,2.7467046
36.0,2.697953,2.8813467,2.9686074,2.827038,3.5558524,3.3191607,3.7469,NaN,2.7879539,3.0661275,4.031484,NaN,3.146055,2.6763923,3.2247343,2.7340438,3.303061,2.768168
37.0,2.69529,2.8936129,2.9472516,2.856138,3.4977891,3.348355,3.7727404,NaN,2.7841864,3.0380452,4.0242105,NaN,3.133342,2.6816835,3.1951447,2.7238035,3.255552,2.761927
38.0,2.6866393,2.8735118,2.9330952,2.800278,3.5379653,3.2796638,3.7680836,NaN,2.768561,3.083185,3.992841,NaN,3.1367724,2.6757605,3.1845658,2.7085376,3.2322683,2.7654226
39.0,2.6853251,2.8946848,2.940049,2.796952,3.5527751,3.2949393,3.7427855,NaN,2.7733383,3.0741394,4.080304,NaN,3.120273,2.6659486,3.1941538,2.7058024,3.2164533,2.7468202
40.0,2.6973407,2.9053245,2.9654427,2.8290727,3.4321928,3.3475063,3.7615602,NaN,2.7948627,3.0607271,4.0611157,NaN,3.14716,2.685486,3.2026243,2.7282345,3.1315768,2.7279644
41.0,2.6866024,2.9224427,2.963764,2.8458114,3.3615358,3.3554258,3.7466867,NaN,2.8125272,3.0626326,4.044313,NaN,3.1459718,2.6774342,3.197013,2.7269044,3.0991735,2.7272074
42.0,2.6983778,2.924524,2.9782915,2.8148162,3.0942068,3.3880732,3.7763557,NaN,2.8215492,3.0858555,4.086895,NaN,3.1449883,2.6865942,3.244025,2.7393224,3.1388147,2.7053108
43.0,2.6979213,2.9256322,2.9877512,2.8508155,NaN,3.3991714,3.739748,NaN,2.8124156,3.0811515,4.098463,NaN,3.184996,2.686431,3.2316182,2.733476,3.1156094,2.7131977
44.0,2.677757,2.9095428,2.947665,2.8214688,NaN,3.3337336,3.7787645,NaN,2.781138,3.0584133,4.051049,NaN,3.1267025,2.6765041,3.1790233,2.7117405,3.1036246,2.7138805
45.0,2.693483,2.9347064,2.9501603,2.8417332,NaN,3.3547893,3.7794952,NaN,2.7838728,3.062383,4.058052,NaN,3.115389,2.674169,3.2123518,2.7198648,3.1081755,2.6957572
46.0,2.6794355,2.920557,2.9631054,2.8473482,NaN,3.380793,3.790292,NaN,2.7972019,3.0538301,4.06594,NaN,3.1470468,2.6777835,3.1578345,2.726047,3.0918365,2.7059157
47.0,2.691928,2.9184692,2.9491034,2.8896391,NaN,3.358527,3.7759497,NaN,2.7859075,3.0430434,4.0509067,NaN,3.1173522,2.669148,3.1613183,2.702114,3.0427077,2.6973999
48.0,2.6893651,2.9583287,2.970413,2.852861,NaN,3.3816361,3.7422285,NaN,2.7868338,3.1023889,4.0823,NaN,3.128401,2.6790028,3.2554026,2.7045565,2.97287,2.6844187
49.0,2.7106113,2.901331,2.9660742,2.87277,NaN,3.3543696,3.713341,NaN,2.7874978,3.082702,4.0586004,NaN,3.1203895,2.6870103,3.169057,2.703012,3.0133352,2.6955235
50.0,2.693917,2.9022923,2.9773104,2.8549929,NaN,3.3409457,3.7419212,NaN,2.782792,3.0775983,4.0441623,NaN,3.117927,2.677243,3.215609,2.7344272,3.022313,2.670904
51.0,2.6912043,2.8929796,2.943924,2.8371177,NaN,3.324754,3.7723203,NaN,2.780471,3.0729098,4.0550776,NaN,3.121329,2.6771817,3.1812167,2.7194183,2.9851913,2.6595955
52.0,2.6795592,2.8954978,2.936725,2.8213367,NaN,3.3222044,3.7529995,NaN,2.789692,3.069582,4.0619907,NaN,3.1088698,2.68141,3.2129924,2.728975,2.941442,2.6644824
53.0,2.6992602,2.9537826,2.9833913,2.8441405,NaN,3.421445,3.8115795,NaN,2.7948112,3.1163132,4.07353,NaN,3.155797,2.6948283,3.2528062,2.7332659,2.9152737,2.6626818
54.0,2.6872332,2.9144208,2.955803,2.808964,NaN,3.3708382,3.767094,NaN,2.800838,3.0623927,4.037726,NaN,3.121033,2.6807714,3.1702702,2.7054203,2.970345,2.6674325
55.0,2.6892326,2.9136,2.9908485,2.8166113,NaN,3.3938363,3.8079553,NaN,2.8222384,3.0733397,4.0997148,NaN,3.149265,2.684676,3.2267659,2.7520602,2.9905255,2.683348
56.0,2.6932948,2.919697,2.9768875,2.828521,NaN,3.3946679,3.8171842,NaN,2.8181043,3.0976877,4.063399,NaN,3.1411557,2.6810524,3.244408,2.7234128,2.9763646,2.6686535
57.0,2.692637,2.9249215,2.963264,2.82725,NaN,3.3805275,3.7834713,NaN,2.7986012,3.0690842,4.073439,NaN,3.1368504,2.6830447,3.210705,2.7335293,2.9367447,2.6455321
58.0,2.6911108,2.8932755,2.9586804,2.8151412,NaN,3.3511398,3.802248,NaN,2.7786887,3.0634058,4.019485,NaN,3.1288,2.6762984,3.171381,2.7176287,2.9036837,2.6516824
59.0,2.687903,2.9060183,2.9693701,2.7881863,NaN,3.3668365,3.7470872,NaN,2.7729852,3.0651226,4.046164,NaN,3.1402678,2.6804054,3.1822505,2.7107425,2.9004805,2.6619205
60.0,2.7000227,2.912968,2.958605,2.813396,NaN,3.381321,3.7387419,NaN,2.785734,3.0688324,4.039024,NaN,3.116682,2.6906993,3.1617963,2.726615,2.9212852,2.6835437
