"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,148.07112,3196.3516,58.59996,695.9018,16157.317,318.5743,873.4531,0.3250184,2281.2205,158737.38,7905.172,8367.626,239.75784,55792.62,29185.125,6284.9683,30.080408,6.091516
2.0,808.96936,10850.899,100.26345,1566.5077,17633.52,623.85144,3171.8186,0.016649406,6399.643,226992.56,14648.942,3985.0454,564.97943,110251.13,60459.496,16243.859,70.12582,919.56793
3.0,8529.146,21101.213,227.59308,3413.375,19060.018,1135.5891,4225.8076,0.0,12076.985,200687.0,19131.818,1682.1122,1771.2415,74678.305,86480.61,30194.082,51.356308,5623.3994
4.0,12567.591,29791.324,753.7469,6040.6846,20546.104,1816.4381,4523.627,0.0,18400.922,179032.11,21604.006,542.4267,8055.715,61723.04,99814.14,43873.812,29.718054,4208.506
5.0,11877.04,37995.184,2649.1526,8270.862,22193.637,2632.8547,6611.7207,0.0,25397.795,157182.66,22806.182,128.38516,23554.016,58938.754,104733.25,42740.258,8.662829,2683.9214
6.0,11324.995,35069.2,8920.673,9231.07,23903.162,3486.384,9530.724,0.0,29967.143,109624.76,23666.309,41.912624,23153.336,54812.1,102567.51,27932.693,0.6242169,943.1016
7.0,13342.069,27953.596,26827.977,12047.544,25546.025,4333.149,14319.201,0.0,33224.39,123483.48,24634.504,29.867798,29635.305,64841.7,97620.04,17680.543,0.0107343495,1468.4492
8.0,12130.948,23106.852,70886.7,10873.028,27184.527,5170.7593,19988.383,0.0,36079.695,130348.06,26712.96,26.12624,35233.926,65609.02,90377.71,11823.56,1.8574772E-4,758.65125
9.0,5135.6685,17829.35,152469.05,7306.8555,28613.852,6117.1357,27052.752,0.0,36021.86,120769.055,27963.371,24.4727,36230.15,57506.023,74930.47,10067.186,0.0,1079.4508
10.0,3352.5295,12768.828,238351.78,4491.563,29912.492,6982.3623,36602.617,0.0,34781.957,110066.62,27892.014,20.880636,36774.035,53931.598,61029.312,8494.993,0.0,1716.8192
11.0,3341.2227,10592.618,320691.25,1858.1293,31115.484,7973.696,48381.863,0.0,33888.996,94235.76,27024.475,18.77564,29307.557,43473.973,48762.406,6288.5947,0.0,1969.8522
12.0,5764.1504,8343.972,397211.72,1096.3088,32359.582,9126.879,64245.23,0.0,33123.96,97765.14,27710.426,17.34643,22777.16,38833.023,40185.62,5749.0737,0.0,1985.4319
13.0,3314.2998,5831.943,434288.7,570.4988,33263.688,10427.011,83806.72,0.0,32291.613,102277.71,28608.598,4.7965493,20079.738,34234.223,32028.045,7035.3394,0.0,1843.3671
14.0,739.27734,4033.1365,440419.1,349.7716,33901.43,11665.906,103723.46,0.0,28373.895,94058.2,27827.727,0.0,13860.365,35312.742,23564.6,6845.4907,0.0,2297.9001
15.0,1691.688,3572.0972,452779.38,201.72871,34400.5,13317.386,123753.24,0.0,25605.08,93709.27,25933.295,0.0,13591.276,37452.793,18094.607,8339.116,0.0,3118.471
16.0,3407.657,2659.7468,438960.38,69.76463,34624.055,15212.482,144557.66,0.0,23049.814,81327.4,25319.852,0.0,9273.464,36835.473,11909.499,10153.698,0.0,2795.6301
17.0,1286.598,1613.4764,420851.4,3.7533212,34670.043,17399.246,167283.08,0.0,19833.7,63995.832,24121.465,0.0,8262.85,31032.697,6938.776,10436.3125,0.0,2887.9429
18.0,500.21643,932.1712,399666.25,0.0,34534.246,19831.684,196522.05,0.0,15475.487,56721.434,22274.357,0.0,7343.8906,35407.566,3185.7812,11503.212,0.0,3999.656
19.0,395.26917,785.12463,384876.75,0.0,34450.727,23979.996,232762.88,0.0,13209.435,85301.06,20734.445,0.0,3569.1074,50179.625,1420.1176,15520.025,0.0,3786.4053
20.0,1100.1864,298.76877,388271.03,0.0,34136.43,30287.26,282805.84,0.0,11795.67,85549.85,18588.291,0.0,2665.331,45758.41,454.41605,23619.107,0.0,3432.3042
