"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2402896E7,0.0,0.0,0.0,0.0
1.0,10.0,127639.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3427510.0,0.0,0.0,0.0,8729614.0,934395.25,0.0,0.0,0.0
1.0,20.0,174700.89,219338.72,0.0,1366.5286,0.0,0.0,0.0,0.0,0.0,1144162.9,0.0,0.0,2593085.0,0.0,576159.6,146192.8,0.0,0.0
1.0,30.0,26663.953,2928503.5,0.0,4157.708,0.0,0.0,0.0,0.0,107841.625,1981.3899,0.0,73224.27,1928802.8,0.0,949306.7,5533.782,0.0,0.0
1.0,40.0,0.0,1368497.1,462.4927,0.0,0.0,0.0,16.1356,2.7682475E-4,79573.36,0.0,7213.1006,494756.9,1347508.6,0.0,678586.8,0.0,0.0,0.0
1.0,50.0,0.0,4.713014,854.70514,0.0,351.07565,0.0,44.86267,1.9597657E-4,0.0,0.0,111812.8,702298.25,0.0,0.0,120259.32,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,357.04834,0.0,49.773685,4.2283233E-8,0.0,0.0,99242.086,0.0,0.0,0.0,6681.821,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,364.74182,471.0602,46.51186,0.0,0.0,0.0,17963.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,400.71915,401.30902,35.89234,0.0,0.0,0.0,13127.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,469.1456,439.51123,29.41854,0.0,0.0,0.0,4963.0977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
