"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,1.9886588,1.5312254E-4,1.3594716,3.3593184E-5,0.0,0.0,3.3932508E-7,0.0
1.0,2.0,0.3088642,2.1769486E-4,9.965952E-4,8.7508874E-4,0.0,0.0,8.839281E-6,0.0
1.0,4.0,0.09714143,0.0,0.0010036513,9.537403E-4,0.0,0.0,9.633741E-6,0.0
1.0,6.0,0.05285126,1.0486316E-4,0.0010033365,9.430918E-4,0.0,0.0,9.52618E-6,0.0
1.0,8.0,0.044560578,4.5919838E-5,0.0010031656,9.7475405E-4,0.0,0.0,9.8460005E-6,0.0
1.0,10.0,0.035561845,1.7462464E-4,0.0010015299,9.610772E-4,0.0,0.0,9.707851E-6,0.0
1.0,12.0,0.030786382,5.1845523E-6,0.0010016155,9.479344E-4,0.0,0.0,9.575095E-6,0.0
1.0,14.0,0.024707107,0.0,0.0010015367,9.665845E-4,0.0,0.0,9.76348E-6,0.0
1.0,16.0,0.019718325,4.463455E-5,0.0010015882,9.673513E-4,0.0,0.0,9.771225E-6,0.0
1.0,18.0,0.0143988235,4.992502E-6,0.0010014777,9.509652E-4,0.0,0.0,9.605709E-6,0.0
1.0,20.0,0.01151931,8.1328864E-5,0.001000748,9.6433406E-4,0.0,0.0,9.740748E-6,0.0
1.0,22.0,0.008547922,2.4991594E-5,0.0010007455,9.451874E-4,0.0,0.0,9.547348E-6,0.0
1.0,24.0,0.0054899417,5.7273908E-5,0.0010007343,9.577928E-4,0.0,0.0,9.674674E-6,0.0
1.0,26.0,0.0033003278,7.382181E-5,0.0010007578,9.561758E-4,0.0,0.0,9.658341E-6,0.0
1.0,28.0,0.0014055249,4.4944183E-5,0.0010007508,9.7094383E-4,0.0,0.0,9.807513E-6,0.0
1.0,30.0,2.469105E-4,7.5273665E-6,0.0010007654,9.553952E-4,0.0,0.0,9.650457E-6,0.0
1.0,32.0,0.0,1.3752116E-5,0.0010007812,9.586279E-4,0.0,0.0,9.68311E-6,0.0
1.0,34.0,0.0,6.844373E-5,0.0010007828,9.5736806E-4,0.0,0.0,9.670384E-6,0.0
1.0,36.0,0.0,1.1697132E-5,0.0010007798,9.648685E-4,0.0,0.0,9.746147E-6,0.0
1.0,38.0,0.0,8.630378E-5,0.0010007807,9.4868685E-4,0.0,0.0,9.582695E-6,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.2930799,6.6270924E-4,1.0696368,1.6352533E-4,0.0,0.0,1.651771E-6,0.0
2.0,2.0,0.31344682,5.3612585E-4,0.001008541,9.201936E-4,0.0,0.0,9.294885E-6,0.0
2.0,4.0,0.10458667,0.0010809688,9.999429E-4,9.326876E-4,0.0,0.0,9.421087E-6,0.0
2.0,6.0,0.06881534,3.9651082E-4,0.0010024372,9.5502916E-4,0.0,0.0,9.646759E-6,0.0
2.0,8.0,0.047607314,3.7052375E-4,0.0010028187,9.6496544E-4,0.0,0.0,9.747126E-6,0.0
2.0,10.0,0.041455332,3.2042988E-4,0.0010021998,9.5659663E-4,0.0,0.0,9.662593E-6,0.0
2.0,12.0,0.032074984,2.0370103E-4,0.0010014592,9.5823547E-4,0.0,0.0,9.679146E-6,0.0
2.0,14.0,0.026828883,2.391075E-4,0.001001411,9.6336316E-4,0.0,0.0,9.730941E-6,0.0
2.0,16.0,0.021555236,2.698365E-4,0.0010014782,9.662256E-4,0.0,0.0,9.759854E-6,0.0
2.0,18.0,0.017530462,4.8520946E-4,0.00100148,9.5771445E-4,0.0,0.0,9.673883E-6,0.0
2.0,20.0,0.012625371,5.529903E-4,0.0010010392,9.483743E-4,0.0,0.0,9.5795385E-6,0.0
2.0,22.0,0.009860776,4.5944224E-4,0.0010006495,9.5938414E-4,0.0,0.0,9.690749E-6,0.0
2.0,24.0,0.006427438,5.419377E-4,0.0010006716,9.511946E-4,0.0,0.0,9.608027E-6,0.0
2.0,26.0,0.004245479,7.6559675E-4,0.001000684,9.528842E-4,0.0,0.0,9.625093E-6,0.0
2.0,28.0,0.002270253,7.813272E-4,0.0010007326,9.557906E-4,0.0,0.0,9.654451E-6,0.0
2.0,30.0,4.355216E-4,8.7525975E-4,0.0010007267,9.5525733E-4,0.0,0.0,9.649064E-6,0.0
2.0,32.0,0.0,8.9659303E-4,0.0010007798,9.507649E-4,0.0,0.0,9.603686E-6,0.0
2.0,34.0,0.0,0.001283925,0.0010007824,9.3824876E-4,0.0,0.0,9.47726E-6,0.0
2.0,36.0,0.0,0.0011447093,0.0010007859,9.6223823E-4,0.0,0.0,9.719578E-6,0.0
2.0,38.0,0.0,9.882392E-4,0.0010007801,9.315128E-4,0.0,0.0,9.40922E-6,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,2.9946237,0.001596741,1.3127866,3.2315942E-4,0.0,0.0,3.2642365E-6,0.0
3.0,2.0,0.1779657,0.0025568898,0.0010646357,0.001021273,0.0,0.0,1.0315889E-5,0.0
3.0,4.0,0.10066695,0.001317983,9.87965E-4,9.587157E-4,0.0,0.0,9.683997E-6,0.0
3.0,6.0,0.078072436,0.0011470957,0.001001783,9.611764E-4,0.0,0.0,9.708853E-6,0.0
3.0,8.0,0.059632495,7.0918724E-4,0.0010031096,9.5850584E-4,0.0,0.0,9.681877E-6,0.0
3.0,10.0,0.04680719,7.212205E-4,0.0010024424,9.6338475E-4,0.0,0.0,9.731159E-6,0.0
3.0,12.0,0.037532512,4.135442E-4,0.001001151,9.577217E-4,0.0,0.0,9.673957E-6,0.0
