"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,1.7949436,2.716635E-4,62.212234,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.42791405,1.5322478E-4,0.0010251295,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.051929116,8.346216E-5,0.0010149482,0.03559949,0.0,0.0,3.595908E-4,0.0
1.0,6.0,0.024773184,3.768638E-5,0.0010134438,0.069154486,0.0,0.0,6.985302E-4,0.0
1.0,8.0,0.025670575,5.244185E-5,0.0010073127,0.06545852,0.0,0.0,6.611972E-4,0.0
1.0,10.0,0.017405722,1.1274248E-4,0.0010073237,0.06642771,0.0,0.0,6.7098695E-4,0.0
1.0,12.0,0.018505156,0.0,0.0010072645,0.07035688,0.0,0.0,7.106756E-4,0.0
1.0,14.0,0.014647216,0.0,0.0010052333,0.06700329,0.0,0.0,6.768009E-4,0.0
1.0,16.0,0.011754461,0.0,0.0010034929,0.06724054,0.0,0.0,6.7919743E-4,0.0
1.0,18.0,0.010548094,2.1847547E-4,0.0010033594,0.066491075,0.0,0.0,6.71627E-4,0.0
1.0,20.0,0.008890855,0.0,0.001003427,0.070212156,0.0,0.0,7.0921367E-4,0.0
1.0,22.0,0.016322387,0.0,0.0010034089,0.068496,0.0,0.0,6.918788E-4,0.0
1.0,24.0,0.011078885,0.0,0.0010033116,0.06895117,0.0,0.0,6.9647643E-4,0.0
1.0,26.0,0.010435966,0.0,0.0010032788,0.06588292,0.0,0.0,6.65484E-4,0.0
1.0,28.0,0.01578668,0.0,0.0010032732,0.07119493,0.0,0.0,7.1914075E-4,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.290533,4.951839E-4,62.694107,0.0013754097,0.0,0.0,1.3893027E-5,0.0
2.0,2.0,0.21354207,4.245446E-4,0.0010283808,0.021300908,0.0,0.0,2.1516069E-4,0.0
2.0,4.0,0.076766394,2.1526145E-4,0.0010193656,0.06505655,0.0,0.0,6.5713684E-4,0.0
