"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1.9991273,20.595526,2.8803244,2.4222856,36.52524,21.469345,4.557391,4.096779,19.492624,1.5461609,41.389744,11.414574,6.384157,2.04977,30.456285,10.917582,4.3558435,1.9585434
1.0,2.0,19.825045,35.57328,30.962498,19.677359,57.04815,56.614998,43.01722,28.61483,41.50033,NaN,127.95754,33.12229,32.5337,NaN,36.162712,24.496561,12.294289,26.010454
1.0,4.0,25.143784,39.17824,41.2408,26.24456,68.46221,71.725784,64.90112,37.502007,44.51889,NaN,135.92642,41.57308,39.45549,NaN,37.766262,27.841417,16.625132,NaN
1.0,6.0,27.77041,40.75582,47.631565,30.444954,77.83527,81.71389,81.80658,NaN,45.257782,NaN,136.77951,47.38851,42.5032,NaN,38.44175,29.175316,20.032785,NaN
1.0,8.0,29.250254,41.427586,51.25448,33.203056,85.48969,88.50788,95.86098,NaN,45.44179,NaN,136.95825,51.12687,43.825268,NaN,NaN,29.607943,22.708342,NaN
1.0,10.0,30.043379,41.7575,NaN,35.107246,91.771385,92.948845,107.1776,NaN,45.48524,NaN,136.99188,53.54051,44.41716,NaN,NaN,29.772799,25.067966,NaN
1.0,12.0,30.473278,41.889076,NaN,36.358253,96.88762,95.93776,116.39764,NaN,45.496464,NaN,136.99805,54.68331,44.68688,NaN,NaN,NaN,26.852476,NaN
1.0,14.0,30.67214,41.950367,NaN,37.201363,101.08208,97.939476,124.04597,NaN,45.499058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.335953,NaN
1.0,16.0,NaN,41.977383,NaN,37.7572,104.5131,99.2859,130.32431,NaN,45.499718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,41.989693,NaN,38.138023,107.32006,100.18306,135.4534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,109.623535,100.78133,139.66089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,111.50512,101.18319,143.11086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,113.04546,101.452354,145.9318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,114.30548,101.63279,148.26634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.337814,101.75389,150.18066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,116.18305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.875275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.44128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.905205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.2851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,1.5530478,20.817005,2.1717548,2.4387298,39.85266,21.425274,6.6874404,22.268578,15.183006,4.3160186,56.919426,10.418152,8.807314,2.1584175,34.919586,11.904915,3.0398102,1.80178
2.0,2.0,22.99442,40.29719,39.373367,25.117998,65.147194,68.95045,55.540585,34.007736,54.915455,NaN,75.27969,40.413616,NaN,NaN,43.90836,18.057774,15.291464,32.645435
2.0,4.0,27.042233,40.831863,46.60696,29.893171,74.35749,80.07663,73.65574,NaN,46.736477,NaN,138.70393,45.798717,NaN,NaN,38.543697,29.287216,18.177153,NaN
2.0,6.0,28.861017,41.505146,51.007893,32.47649,82.68381,87.38996,88.410446,NaN,45.68966,NaN,137.42883,50.588306,NaN,NaN,38.77317,29.712845,21.538214,NaN
2.0,8.0,29.84847,41.764034,53.135727,34.70556,89.44797,92.253,101.08492,NaN,45.548466,NaN,137.08743,53.070454,NaN,NaN,NaN,29.832512,23.784695,NaN
2.0,10.0,30.347492,41.882,NaN,35.96736,95.01053,95.47855,111.7598,NaN,45.50983,NaN,137.0183,54.78975,NaN,NaN,NaN,29.867737,26.342081,NaN
2.0,12.0,30.619602,41.951813,NaN,36.98706,99.53566,97.63434,120.25239,NaN,45.50233,NaN,137.00504,55.668434,NaN,NaN,NaN,NaN,27.575825,NaN
2.0,14.0,30.787603,41.97615,NaN,37.659477,103.24291,99.072784,127.30047,NaN,45.500515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71934,NaN
2.0,16.0,NaN,41.992237,NaN,38.01469,106.285614,100.04517,133.10684,NaN,45.500088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,18.0,NaN,41.99575,NaN,38.325443,108.778175,100.689644,137.80475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,110.80963,101.12068,141.65813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,22.0,NaN,NaN,NaN,NaN,112.47547,101.411095,144.77852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,24.0,NaN,NaN,NaN,NaN,113.83909,101.60477,147.32411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,26.0,NaN,NaN,NaN,NaN,114.95479,101.735016,149.41878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
