"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.20857544,0.119389586,111.0653,0.029172665,0.0,0.0,2.9467337E-4,0.0
1.0,2.0,2.9664914E-5,0.04128803,0.0010593322,0.17947945,0.0,0.0,0.0018129238,0.0
1.0,4.0,0.0,0.01833073,0.0010221576,0.16658251,0.0,0.0,0.0016826516,0.0
1.0,6.0,0.0,0.018067628,0.0010180331,0.17538233,0.0,0.0,0.0017715386,0.0
1.0,8.0,0.0,0.015114279,0.0010103103,0.17183022,0.0,0.0,0.0017356589,0.0
1.0,10.0,0.0,0.011374065,0.0010103091,0.17463677,0.0,0.0,0.0017640077,0.0
1.0,12.0,0.0,0.011746484,0.0010717091,0.18939301,0.0,0.0,0.0019130607,0.95115936
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.09260571,0.1257352,124.755554,0.06429903,0.0,0.0,6.4948516E-4,0.0
2.0,2.0,0.0072894334,0.17502919,0.001285059,0.2450084,0.0,0.0,0.002474832,0.0
2.0,4.0,0.0,0.06637561,0.0010361084,0.17049436,0.0,0.0,0.0017221653,0.0
2.0,6.0,0.0,0.0569578,0.0010220692,0.17621823,0.0,0.0,0.0017799821,0.0
2.0,8.0,0.0,0.05018188,0.0010118571,0.16785932,0.0,0.0,0.0016955485,0.0
2.0,10.0,0.0,0.050351713,0.0010108544,0.17305452,0.0,0.0,0.0017480253,0.0
2.0,12.0,0.0,0.051182922,0.001071447,0.18614051,0.0,0.0,0.0018802071,0.95376617
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.44269302,0.10970209,135.6321,0.092842825,0.0,0.0,9.378063E-4,0.0
3.0,2.0,0.024401445,0.21600763,0.0010054783,0.17084448,0.0,0.0,0.0017257018,0.0
3.0,4.0,0.0,0.102753386,0.0010568054,0.18607919,0.0,0.0,0.0018795878,0.0
3.0,6.0,0.0,0.101907685,0.0010231622,0.18197851,0.0,0.0,0.0018381667,0.0
3.0,8.0,0.0,0.07990128,0.001016753,0.16795804,0.0,0.0,0.0016965459,0.0
3.0,10.0,0.0,0.09992535,0.0010114785,0.17300034,0.0,0.0,0.0017474781,0.0
3.0,12.0,0.0,0.093711,0.0010703936,0.19047813,0.0,0.0,0.0019240215,0.9508951
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
