"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,33.749645,2103.588,2.6443992,5.221781,15.190754,12.860457,4.75711,6.2371146E-7,148.44186,613.51514,1311.1376,970.75635,1685.8944,296.3893,2216.9343,39.240128,0.0,0.0
2.0,67.75854,7153.1885,0.121097066,0.028509807,16.397118,23.633213,5.004466,0.0,454.90234,959.1677,2469.8584,495.50748,1209.5564,448.72464,4315.5483,140.62762,0.0,0.0
3.0,158.98866,12540.071,33.97262,1.350766,18.079094,73.9316,5.8154006,0.0,824.7326,1027.832,3282.4397,208.21191,2378.657,281.1623,6122.826,258.75034,0.0,0.0
4.0,147.46205,15215.534,43.85438,3.800146,19.57364,124.38681,13.641629,0.0,1247.7355,893.01227,3517.545,69.74006,7207.0386,284.3007,7059.6187,277.91498,0.0,0.0
5.0,210.51923,17085.111,45.337814,2.2428746,21.107685,169.6892,29.184143,0.0,1761.7859,714.68115,3894.429,16.591038,11991.9,265.22485,7463.7095,269.02246,0.0,0.0
6.0,182.97081,14133.551,129.75096,4.0736094,22.775494,233.08028,44.21189,0.0,1984.1619,612.78485,4132.008,5.3758864,20270.87,253.26985,7322.9014,211.57376,0.0,0.0
7.0,143.20538,12185.635,148.15747,8.847478,24.450474,289.81104,50.115353,0.0,2161.1853,808.6561,4191.1504,3.887591,18340.668,318.64505,6896.119,146.14598,0.0,0.0
8.0,96.33819,10290.417,238.90422,11.247608,25.769617,339.75165,64.0579,0.0,2382.906,766.8366,4619.985,3.386047,21542.041,292.40308,6419.9097,115.470474,0.0,0.0
9.0,58.461163,9446.024,645.61896,6.426632,27.115974,405.4893,83.17867,0.0,2413.3953,723.7341,4894.3145,3.1737561,27067.086,278.8138,5354.9634,96.334236,0.0,0.0
10.0,79.6341,7317.1826,703.1786,4.400406,28.563946,456.94766,127.15606,0.0,2360.2217,692.6758,4669.5654,2.7066078,25182.463,263.0676,4376.431,95.901665,0.0,0.0
11.0,78.35169,6301.703,1795.6533,1.9482055,29.50286,509.73196,181.78598,0.0,2176.782,607.55664,4454.721,2.427692,31113.174,237.66695,3481.1587,76.287605,0.0,0.0
12.0,71.30102,5273.157,1334.3866,1.1122987,30.485392,550.95013,263.34824,0.0,2085.884,699.04285,4769.465,2.241754,17930.895,226.53003,2855.499,72.67695,0.0,0.0
13.0,36.134933,3866.0881,1498.1293,1.2378405,31.567564,627.06024,368.12976,0.0,2074.8306,648.04596,4687.902,0.70645607,16106.281,183.65065,2353.8035,93.504524,0.0,0.0
14.0,34.243504,2982.8328,1546.3658,1.6298995,32.21206,766.2225,523.743,0.0,1885.0181,633.4754,4729.189,0.0,12579.521,194.51318,1639.6575,60.94046,0.0,0.0
15.0,77.788826,2603.1953,1546.3596,0.0,32.37417,763.74945,623.5534,0.0,1664.546,588.24896,4468.349,0.0,9029.217,211.15378,1252.7144,89.379906,0.0,0.0
16.0,10.455684,2066.6575,867.5836,0.0,32.34312,883.99554,749.583,0.0,1445.0748,559.90826,4332.821,0.0,13548.758,209.37833,877.5378,109.69281,0.0,0.0
17.0,0.0,1220.2366,378.49405,0.038149618,32.517666,993.74536,810.30865,0.0,1280.9973,451.91354,4053.2336,0.0,6386.5205,182.86282,510.16156,95.234375,0.0,0.0
18.0,1.3001009,623.42645,422.69992,0.0,32.548508,1144.7753,837.6249,0.0,995.6703,458.99924,3730.8088,0.0,5334.73,197.25389,244.06085,123.47882,0.0,0.0
19.0,13.96436,501.118,218.39052,0.0,32.21402,1367.3265,941.0201,0.0,876.6668,735.04785,3556.9734,0.0,7710.9014,270.9356,108.058266,120.08521,0.0,0.0
20.0,28.273466,242.36964,664.9676,0.0,32.368355,1634.2742,1015.87213,0.0,770.72125,608.9027,3165.5183,0.0,4805.1187,230.39574,30.13173,164.21695,0.0,0.0
21.0,43.470222,30.767784,309.5373,0.0,31.86874,2035.1857,1036.7333,0.0,726.31366,606.2552,2838.2915,0.0,1021.7987,203.92996,6.859159,191.11081,0.0,0.0
22.0,50.14778,0.0,182.09514,0.0,31.062645,2491.2478,1031.1183,0.0,643.02344,515.2394,2621.6565,0.0,368.20377,197.68709,0.1847699,176.60767,0.0,0.0
