"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","Haddock","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,608.0335,19121.812,70.9394,796.764,48185.414,1152.254,1535.9625,0.21618268,5196.017,62045.848,33645.582,20657.672,290.92343,38287.965,61543.53,1122.8368,4.71816,0.938254
2.0,6695.382,12091.739,1.2790637,199.14275,46299.57,1854.468,1854.8635,0.0010330544,7652.2964,44260.203,48123.637,5447.0635,0.017670223,10484.748,68829.15,559.9647,4.3238206,1.4121315
3.0,20031.818,7058.459,0.0,429.88885,43897.527,2700.301,2452.3623,0.0,8402.361,42978.332,35390.496,1258.4279,0.0,0.0,47176.5,265.48654,3.0224195,14.79805
4.0,35037.35,4420.012,0.0,705.63025,42010.48,3532.8564,3564.1016,0.0,9056.704,70697.414,24410.86,265.41907,0.0,0.0,33542.453,95.91322,0.019541135,72.211075
5.0,52594.957,3071.4011,0.0,911.6561,40600.81,4506.8926,4793.6304,0.0,9389.623,93793.2,16451.842,41.30301,0.0,0.0,25162.166,12.199361,1.7787146E-4,552.3985
6.0,66819.6,2389.7397,0.0,1132.2699,38972.12,5704.249,5170.586,0.0,9841.161,101325.51,11044.348,1.4368546,0.0,0.0,19045.215,0.9267217,0.0,6451.035
7.0,84123.49,1925.7317,0.0,3836.6235,37326.16,7586.038,6200.1763,0.0,11126.127,123692.2,7435.9756,0.0,0.0,0.0,14957.288,0.0,0.0,6910.6597
8.0,98751.44,1718.6006,0.0,11732.716,35533.785,12020.773,9153.319,0.0,12274.614,138743.81,4993.054,0.0,0.0,0.0,10236.201,0.0,0.0,5966.7427
9.0,101718.555,2545.7305,0.0,25869.145,33502.58,20954.268,14738.061,0.0,14992.804,132388.0,3387.062,0.0,0.0,0.0,5602.3037,0.0,0.0,4874.092
10.0,86907.47,3491.7234,0.0,46495.88,31503.242,38807.387,30341.004,0.0,21316.049,111372.234,2282.5786,0.0,0.0,0.0,4640.5146,0.0,0.0,3549.841
11.0,70631.94,2901.564,0.0,60351.984,29415.98,59328.617,58326.992,0.0,25754.773,89433.484,1522.546,0.0,0.0,0.0,3586.8833,0.0,0.0,2435.1836
12.0,48699.07,2248.8052,0.0,63408.06,27350.486,76573.984,87247.375,0.0,26282.027,53133.79,964.95605,0.0,0.0,0.0,2715.3108,0.0,0.0,976.6824
13.0,31979.928,2022.7487,0.0,62627.83,25347.436,88543.2,116138.13,0.0,25096.59,46197.35,429.6785,0.0,0.0,0.0,1872.075,0.0,0.0,1001.6032
14.0,26432.283,1412.272,0.0,53833.992,23259.295,93118.08,136928.39,0.0,23057.406,36346.277,64.55597,0.0,0.0,0.0,1081.6168,0.0,0.0,630.54694
15.0,18439.99,1287.1968,0.0,41209.008,21220.986,91977.25,145452.23,0.0,21463.18,26563.61,46.96306,0.0,0.0,0.0,363.456,0.0,0.0,159.25241
16.0,15973.953,639.4465,0.0,30260.357,19163.672,84856.66,146072.19,0.0,19082.45,22485.824,32.198112,0.0,0.0,0.0,118.30523,0.0,0.0,624.26227
17.0,8490.256,237.43121,0.0,23231.793,17357.361,76805.78,147837.45,0.0,15757.334,21622.373,21.036732,0.0,0.0,0.0,28.171524,0.0,0.0,1848.099
18.0,12164.719,74.29955,0.0,22453.125,15665.99,70732.95,150078.33,0.0,14269.953,23228.693,14.174483,0.0,0.0,0.0,12.688193,0.0,0.0,1189.8239
19.0,27752.105,31.12181,0.0,24741.11,14137.735,67889.66,166224.61,0.0,13463.296,35257.395,9.152564,0.0,0.0,0.0,1.0835027,0.0,0.0,1343.4801
20.0,39369.137,13.708081,0.0,26798.598,12780.75,66341.31,200900.81,0.0,11855.714,39667.176,5.717423,0.0,0.0,0.0,0.0,0.0,0.0,1343.4384
21.0,37153.305,3.1496418,0.0,26828.756,11558.613,68478.836,230686.58,0.0,11116.958,40642.79,2.6897504,0.0,0.0,0.0,0.0,0.0,0.0,1955.152
22.0,26374.455,0.58263165,0.0,22709.775,10393.154,69279.37,245537.36,0.0,10380.308,34443.273,1.2650371,0.0,0.0,0.0,0.0,0.0,0.0,1173.2247
23.0,16991.586,0.28958324,0.0,22042.04,9312.343,65835.086,238614.75,0.0,8710.792,22933.834,0.60751355,0.0,0.0,0.0,0.0,0.0,0.0,1008.547
24.0,26737.367,0.037206944,0.0,25854.918,8304.163,62958.91,226233.16,0.0,7568.9854,27235.432,0.3146605,0.0,0.0,0.0,0.0,0.0,0.0,2126.3965
