"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.52336085,0.10354367,92.69731,0.016168252,0.0,0.0,1.6331566E-4,0.0
1.0,2.0,0.0,0.06299649,0.01072332,0.1864898,0.0,0.0,0.0018837353,0.0
1.0,4.0,0.0,0.039218448,0.010352629,0.17610912,0.0,0.0,0.0017788799,0.0
1.0,6.0,0.0,0.040754277,0.010325734,0.1821829,0.0,0.0,0.0018402314,0.0
1.0,8.0,0.0,0.0343546,0.010241159,0.16882315,0.0,0.0,0.0017052843,0.0
1.0,10.0,0.0,0.030756446,0.010237807,0.17147577,0.0,0.0,0.0017320785,0.0
1.0,12.0,0.0,0.029001433,0.010752227,0.17631249,0.0,0.0,0.0017809342,0.7798713
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.38207084,0.13813254,113.319565,0.052184995,0.0,0.0,5.271211E-4,0.0
2.0,2.0,0.030460479,0.22920097,0.012054989,0.2162117,0.0,0.0,0.0021839566,0.0
2.0,4.0,0.0,0.14663422,0.010502348,0.18151952,0.0,0.0,0.0018335305,0.0
2.0,6.0,0.0,0.12243015,0.010345746,0.18422896,0.0,0.0,0.0018608986,0.0
2.0,8.0,0.0,0.134556,0.010253616,0.16954488,0.0,0.0,0.0017125744,0.0
2.0,10.0,0.0,0.12534858,0.010249145,0.17478336,0.0,0.0,0.0017654884,0.0
2.0,12.0,0.0,0.1410756,0.010774245,0.19070253,0.0,0.0,0.0019262881,0.8110179
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.487733,0.10437756,141.90662,0.07946713,0.0,0.0,8.026983E-4,0.0
3.0,2.0,0.13924992,0.26110393,0.009988636,0.10284877,0.0,0.0,0.0010388765,0.0
3.0,4.0,0.0,0.21129985,0.010712108,0.17655052,0.0,0.0,0.0017833386,0.0
3.0,6.0,0.0,0.19068237,0.010346866,0.17205083,0.0,0.0,0.0017378872,0.0
3.0,8.0,0.0,0.19829206,0.01033048,0.17681031,0.0,0.0,0.0017859626,0.0
3.0,10.0,0.0,0.19723128,0.010239659,0.18042335,0.0,0.0,0.0018224581,0.0
3.0,12.0,0.0,0.17928249,0.01076842,0.18733396,0.0,0.0,0.0018922621,0.82235295
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,2.5166934,0.102533124,140.97073,0.09544319,0.0,0.0,9.640726E-4,0.0
4.0,2.0,0.11553025,0.22910213,0.009293364,0.07344877,0.0,0.0,7.4190676E-4,0.0
4.0,4.0,0.014990263,0.27015013,0.011902862,0.21295966,0.0,0.0,0.0021511076,0.0
4.0,6.0,0.0,0.2196564,0.010504915,0.17931606,0.0,0.0,0.0018112733,0.0
4.0,8.0,0.0,0.22586414,0.010350774,0.17498848,0.0,0.0,0.0017675604,0.0
4.0,10.0,0.0,0.19971107,0.010254821,0.16532812,0.0,0.0,0.0016699809,0.0
4.0,12.0,0.0,0.20897532,0.010784307,0.19683895,0.0,0.0,0.0019882722,0.80843663
4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,2.4978344,0.09664509,140.82298,0.07309538,0.0,0.0,7.3833717E-4,0.0
5.0,2.0,0.07572602,0.236058,0.011022511,0.12308067,0.0,0.0,0.0012432392,0.0
5.0,4.0,0.09661806,0.25065532,0.00998815,0.11309218,0.0,0.0,0.0011423451,0.0
5.0,6.0,0.0,0.22769359,0.0107089365,0.18954255,0.0,0.0,0.0019145713,0.0
5.0,8.0,0.0,0.21849102,0.010342113,0.1719416,0.0,0.0,0.0017367837,0.0
5.0,10.0,0.0,0.21400419,0.010320703,0.17292601,0.0,0.0,0.0017467274,0.0
5.0,12.0,0.0,0.21780948,0.010756171,0.18312606,0.0,0.0,0.0018497582,0.8044921
5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,2.3960361,0.110775106,140.42398,0.09328627,0.0,0.0,9.422855E-4,0.0
6.0,2.0,0.03716984,0.23129258,0.010063911,0.18080176,0.0,0.0,0.0018262805,0.0
6.0,4.0,0.07020218,0.20287886,0.009290514,0.10134469,0.0,0.0,0.0010236837,0.0
6.0,6.0,0.012055616,0.26089045,0.011817423,0.20321779,0.0,0.0,0.002052705,0.0
6.0,8.0,0.0,0.22679016,0.010506277,0.17371364,0.0,0.0,0.0017546832,0.0
6.0,10.0,0.0,0.20994774,0.010344598,0.16880465,0.0,0.0,0.0017050974,0.0
6.0,12.0,0.0,0.22957139,0.010813999,0.19475241,0.0,0.0,0.0019671961,0.82094353
6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,2.2044425,0.100505665,140.56253,0.09442576,0.0,0.0,9.537955E-4,0.0
7.0,2.0,0.03338482,0.1969117,0.010104934,0.17221156,0.0,0.0,0.0017395108,0.0
7.0,4.0,0.10217867,0.20781696,0.011062915,0.18503448,0.0,0.0,0.0018690352,0.0
7.0,6.0,0.099899344,0.21990314,0.0099873915,0.12950356,0.0,0.0,0.0013081168,0.0
7.0,8.0,0.0,0.22069322,0.010710843,0.19314681,0.0,0.0,0.001950978,0.0
7.0,10.0,0.0,0.20578778,0.010332285,0.16649066,0.0,0.0,0.0016817239,0.0
7.0,12.0,0.0,0.22187881,0.010836062,0.18580316,0.0,0.0,0.0018767996,0.7053247
