"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.9709105,0.018152777,0.3313513,1.0448003E-5,0.0,0.0,1.05535385E-7,0.0
1.0,2.0,0.23475488,0.0122394,0.10053606,8.33205E-4,0.0,0.0,8.416212E-6,0.0
1.0,4.0,0.055428326,0.0130673135,0.10075555,9.411786E-4,0.0,0.0,9.506854E-6,0.0
1.0,6.0,0.015496199,0.015675679,0.10056888,9.479294E-4,0.0,0.0,9.575045E-6,0.0
1.0,8.0,0.01208511,0.009955262,0.10055167,9.4840786E-4,0.0,0.0,9.579878E-6,0.0
1.0,10.0,0.008292395,0.009491332,0.100341,9.522357E-4,0.0,0.0,9.618542E-6,0.0
1.0,12.0,0.0059371563,0.009669227,0.10034321,9.716317E-4,0.0,0.0,9.814462E-6,0.0
1.0,14.0,0.004491791,0.009992899,0.10033421,9.419329E-4,0.0,0.0,9.514474E-6,0.0
1.0,16.0,0.003404472,0.009091551,0.10033816,9.5890294E-4,0.0,0.0,9.6858885E-6,0.0
1.0,18.0,0.002333059,0.009797739,0.10033714,9.4324455E-4,0.0,0.0,9.527723E-6,0.0
1.0,20.0,0.0013587062,0.011792801,0.10022622,9.5239794E-4,0.0,0.0,9.620181E-6,0.0
1.0,22.0,0.0011821255,0.008649959,0.10021924,9.504852E-4,0.0,0.0,9.600861E-6,0.0
1.0,24.0,7.3811953E-4,0.0072929654,0.100227304,9.603891E-4,0.0,0.0,9.7009E-6,0.0
1.0,26.0,4.1178646E-4,0.0076400153,0.10022737,9.896094E-4,0.0,0.0,9.996054E-6,0.0
1.0,28.0,1.9579912E-4,0.005710304,0.10022316,9.76827E-4,0.0,0.0,9.86694E-6,0.0
1.0,30.0,3.0842657E-5,0.0052373977,0.10022846,9.767264E-4,0.0,0.0,9.865923E-6,0.0
1.0,32.0,0.0,0.008748564,0.1002299,9.469013E-4,0.0,0.0,9.564659E-6,0.0
1.0,34.0,0.0,0.0061115916,0.10022607,9.615987E-4,0.0,0.0,9.713118E-6,0.0
1.0,36.0,0.0,0.0071980227,0.10022482,9.5367106E-4,0.0,0.0,9.633041E-6,0.0
1.0,38.0,0.0,0.006167005,0.10022636,9.745037E-4,0.0,0.0,9.843472E-6,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.60711324,0.043312557,0.09692848,3.2469808E-4,0.0,0.0,3.2797784E-6,0.0
2.0,2.0,0.4533775,0.024272803,0.10625409,0.0010106482,0.0,0.0,1.0208568E-5,0.0
2.0,4.0,0.033791885,0.02689348,0.10010978,9.5681555E-4,0.0,0.0,9.664804E-6,0.0
2.0,6.0,0.019480204,0.028371481,0.10055912,9.484773E-4,0.0,0.0,9.580579E-6,0.0
2.0,8.0,0.015939653,0.022647208,0.100563854,9.5357647E-4,0.0,0.0,9.6320855E-6,0.0
2.0,10.0,0.011618722,0.023966163,0.10043109,9.4663975E-4,0.0,0.0,9.562018E-6,0.0
2.0,12.0,0.008532262,0.022940243,0.100331895,9.6261484E-4,0.0,0.0,9.723382E-6,0.0
2.0,14.0,0.0060676327,0.023673056,0.10033772,9.65709E-4,0.0,0.0,9.754636E-6,0.0
2.0,16.0,0.0049071535,0.022521617,0.10033737,9.602533E-4,0.0,0.0,9.699528E-6,0.0
2.0,18.0,0.0031688726,0.020707434,0.100326926,9.5408433E-4,0.0,0.0,9.637216E-6,0.0
2.0,20.0,0.002243945,0.019070057,0.10028199,9.717187E-4,0.0,0.0,9.8153405E-6,0.0
2.0,22.0,0.0016162946,0.023348568,0.10022925,9.435454E-4,0.0,0.0,9.530761E-6,0.0
2.0,24.0,9.446827E-4,0.02078205,0.100211516,9.6553133E-4,0.0,0.0,9.752842E-6,0.0
2.0,26.0,6.254135E-4,0.020535486,0.100231,9.716368E-4,0.0,0.0,9.814513E-6,0.0
2.0,28.0,4.1084026E-4,0.020151043,0.100218676,9.412055E-4,0.0,0.0,9.507126E-6,0.0
2.0,30.0,9.007399E-5,0.021019861,0.10022851,9.759107E-4,0.0,0.0,9.857684E-6,0.0
2.0,32.0,0.0,0.021287678,0.1002374,9.165827E-4,0.0,0.0,9.258411E-6,0.0
2.0,34.0,0.0,0.022530304,0.10022703,9.6353004E-4,0.0,0.0,9.7326265E-6,0.0
2.0,36.0,0.0,0.01984307,0.1002193,9.60927E-4,0.0,0.0,9.706333E-6,0.0
2.0,38.0,0.0,0.014290137,0.10021476,9.538254E-4,0.0,0.0,9.6346E-6,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,12.734673,0.0,3.1310935,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.2717566,0.03742004,0.09912579,9.129999E-4,0.0,0.0,9.222222E-6,0.0
3.0,4.0,0.11220268,0.022225916,0.09949726,9.4851566E-4,0.0,0.0,9.580966E-6,0.0
3.0,6.0,0.01961092,0.02254628,0.10051854,9.820532E-4,0.0,0.0,9.91973E-6,0.0
3.0,8.0,0.016809704,0.024656042,0.10052162,9.704292E-4,0.0,0.0,9.802316E-6,0.0
3.0,10.0,0.012078533,0.018085705,0.1005342,9.658591E-4,0.0,0.0,9.756152E-6,0.0
3.0,12.0,0.009468976,0.020192692,0.10033207,9.5669425E-4,0.0,0.0,9.663578E-6,0.0
3.0,14.0,0.008207667,0.020128168,0.10033532,9.568093E-4,0.0,0.0,9.664741E-6,0.0
3.0,16.0,0.005151794,0.019480553,0.10032664,9.4862655E-4,0.0,0.0,9.582087E-6,0.0
3.0,18.0,0.0047415714,0.01567845,0.10032494,9.759201E-4,0.0,0.0,9.857779E-6,0.0
3.0,20.0,0.00320241,0.017971257,0.1003287,9.553188E-4,0.0,0.0,9.649685E-6,0.0
3.0,22.0,0.0020455092,0.019627353,0.10023374,9.5546304E-4,0.0,0.0,9.651141E-6,0.0
3.0,24.0,0.0013647,0.017366666,0.10019325,9.6508476E-4,0.0,0.0,9.748331E-6,0.0
3.0,26.0,0.0010430204,0.017612293,0.10023655,9.842442E-4,0.0,0.0,9.94186E-6,0.0
3.0,28.0,5.20267E-4,0.018276665,0.10023346,9.640228E-4,0.0,0.0,9.737604E-6,0.0
3.0,30.0,2.2288537E-4,0.016201215,0.100212716,9.7275886E-4,0.0,0.0,9.825847E-6,0.0
3.0,32.0,2.2430664E-5,0.014508726,0.100232586,9.839954E-4,0.0,0.0,9.939348E-6,0.0
3.0,34.0,0.0,0.016151305,0.10022486,9.870616E-4,0.0,0.0,9.970319E-6,0.0
3.0,36.0,0.0,0.018529031,0.100234926,9.441184E-4,0.0,0.0,9.536549E-6,0.0
3.0,38.0,0.0,0.013660357,0.100211196,9.380524E-4,0.0,0.0,9.475277E-6,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,13.146285,0.0,3.0966504,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.11833477,0.02847755,0.09377173,8.822571E-4,0.0,0.0,8.9116875E-6,0.0
4.0,4.0,0.09524347,0.023093415,0.10485368,0.0010154308,0.0,0.0,1.02568765E-5,0.0
4.0,6.0,0.0130441375,0.021890119,0.0998226,9.614895E-4,0.0,0.0,9.7120155E-6,0.0
4.0,8.0,0.014947932,0.023324797,0.100564055,9.597962E-4,0.0,0.0,9.694911E-6,0.0
4.0,10.0,0.012628721,0.018363522,0.10052687,9.4384886E-4,0.0,0.0,9.533827E-6,0.0
4.0,12.0,0.009699484,0.014301592,0.10041103,9.640252E-4,0.0,0.0,9.737629E-6,0.0
4.0,14.0,0.008596312,0.02025041,0.100346684,9.336547E-4,0.0,0.0,9.430856E-6,0.0
4.0,16.0,0.006274827,0.01723406,0.100301936,9.6110685E-4,0.0,0.0,9.70815E-6,0.0
4.0,18.0,0.0046111257,0.015416711,0.10034372,9.642804E-4,0.0,0.0,9.740205E-6,0.0
4.0,20.0,0.003991528,0.015784204,0.10033097,9.519494E-4,0.0,0.0,9.615651E-6,0.0
4.0,22.0,0.002338206,0.017342005,0.10026898,9.360302E-4,0.0,0.0,9.45485E-6,0.0
4.0,24.0,0.0019182083,0.018136594,0.10023927,9.2119025E-4,0.0,0.0,9.304952E-6,0.0
4.0,26.0,0.0012403823,0.012968055,0.10020247,9.6500013E-4,0.0,0.0,9.747476E-6,0.0
