"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,3.0170476,0.0013315021,62.47633,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.61706865,0.001222327,0.010234559,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.060826335,5.1313743E-4,0.010162127,0.03644934,0.0,0.0,3.6817516E-4,0.0
1.0,6.0,0.022986785,6.299089E-5,0.010262878,0.06812895,0.0,0.0,6.8817125E-4,0.0
1.0,8.0,0.015716886,0.0,0.010191588,0.06942193,0.0,0.0,7.012316E-4,0.0
1.0,10.0,0.021546189,0.0,0.010191155,0.06901833,0.0,0.0,6.9715484E-4,0.0
1.0,12.0,0.010571539,0.0,0.010190055,0.06673559,0.0,0.0,6.7409687E-4,0.0
1.0,14.0,0.014007067,0.0,0.010169369,0.07099122,0.0,0.0,7.1708305E-4,0.0
1.0,16.0,0.10275792,0.0,0.010141281,0.06408387,0.0,0.0,6.473118E-4,0.0
1.0,18.0,0.039534345,3.163095E-5,0.010142135,0.06842147,0.0,0.0,6.911259E-4,0.0
1.0,20.0,0.069422334,0.0,0.010127477,0.06712115,0.0,0.0,6.779914E-4,0.0
1.0,22.0,0.10733054,0.0,0.009987859,0.06695432,0.0,0.0,6.7630626E-4,0.0
1.0,24.0,0.0024675059,0.0,0.010278177,0.06497574,0.0,0.0,6.563206E-4,0.0
1.0,26.0,2.0642728E-6,0.0,1.7506352E-5,0.0,0.0,0.0,0.0,0.0
1.0,28.0,3.3545932E-6,0.0,1.8191547E-5,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.431614,0.0027965195,63.998177,2.9098944E-4,0.0,0.0,2.9392872E-6,0.0
2.0,2.0,0.26372635,0.010038696,0.010450041,0.02972639,0.0,0.0,3.0026658E-4,0.0
2.0,4.0,0.07998423,6.258328E-4,0.010177312,0.067244425,0.0,0.0,6.792366E-4,0.0
2.0,6.0,0.07218934,5.014145E-4,0.010229575,0.06882773,0.0,0.0,6.952296E-4,0.0
2.0,8.0,0.047613043,5.4520646E-5,0.010214548,0.066379,0.0,0.0,6.70495E-4,0.0
2.0,10.0,0.06266868,1.8283687E-4,0.010190366,0.07049199,0.0,0.0,7.120403E-4,0.0
2.0,12.0,0.062038764,0.0,0.0101931365,0.061076976,0.0,0.0,6.1693916E-4,0.0
2.0,14.0,0.104196444,0.0,0.010198489,0.07353684,0.0,0.0,7.427964E-4,0.0
2.0,16.0,0.09171936,0.0,0.010169122,0.05991835,0.0,0.0,6.0523587E-4,0.0
2.0,18.0,0.26851347,0.0,0.010119644,0.07160148,0.0,0.0,7.2324724E-4,0.0
2.0,20.0,0.22629039,2.6793953E-4,0.010127615,0.068760365,0.0,0.0,6.945492E-4,0.0
2.0,22.0,0.24550357,0.0,0.01031725,0.06699835,0.0,0.0,6.7675096E-4,0.0
2.0,24.0,0.26467457,0.0,0.010222124,0.07601005,0.0,0.0,7.677783E-4,0.0
2.0,26.0,0.11894092,0.0,1.3238731E-4,0.0016695412,0.0,0.0,1.6864053E-5,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
